Date,EFFR,Unemployment Rate,UMCSENT
2006-01-02,,4.7,91.2
2006-01-03,4.34,4.7,91.2
2006-01-04,4.22,4.7,91.2
2006-01-05,4.24,4.7,91.2
2006-01-06,4.22,4.7,91.2
2006-01-09,4.25,4.7,91.2
2006-01-10,4.24,4.7,91.2
2006-01-11,4.24,4.7,91.2
2006-01-12,4.28,4.7,91.2
2006-01-13,4.3,4.7,91.2
2006-01-16,,4.7,91.2
2006-01-17,4.32,4.7,91.2
2006-01-18,4.24,4.7,91.2
2006-01-19,4.23,4.7,91.2
2006-01-20,4.24,4.7,91.2
2006-01-23,4.26,4.7,91.2
2006-01-24,4.28,4.7,91.2
2006-01-25,4.36,4.7,91.2
2006-01-26,4.37,4.7,91.2
2006-01-27,4.42,4.7,91.2
2006-01-30,4.48,4.7,91.2
2006-01-31,4.47,4.7,91.2
2006-02-01,4.47,4.8,86.7
2006-02-02,4.48,4.8,86.7
2006-02-03,4.51,4.8,86.7
2006-02-06,4.51,4.8,86.7
2006-02-07,4.47,4.8,86.7
2006-02-08,4.48,4.8,86.7
2006-02-09,4.52,4.8,86.7
2006-02-10,4.51,4.8,86.7
2006-02-13,4.44,4.8,86.7
2006-02-14,4.45,4.8,86.7
2006-02-15,4.5,4.8,86.7
2006-02-16,4.48,4.8,86.7
2006-02-17,4.48,4.8,86.7
2006-02-20,,4.8,86.7
2006-02-21,4.54,4.8,86.7
2006-02-22,4.49,4.8,86.7
2006-02-23,4.47,4.8,86.7
2006-02-24,4.48,4.8,86.7
2006-02-27,4.52,4.8,86.7
2006-02-28,4.52,4.8,86.7
2006-03-01,4.52,4.7,88.9
2006-03-02,4.5,4.7,88.9
2006-03-03,4.51,4.7,88.9
2006-03-06,4.51,4.7,88.9
2006-03-07,4.51,4.7,88.9
2006-03-08,4.51,4.7,88.9
2006-03-09,4.51,4.7,88.9
2006-03-10,4.51,4.7,88.9
2006-03-13,4.52,4.7,88.9
2006-03-14,4.51,4.7,88.9
2006-03-15,4.47,4.7,88.9
2006-03-16,4.55,4.7,88.9
2006-03-17,4.6,4.7,88.9
2006-03-20,4.55,4.7,88.9
2006-03-21,4.54,4.7,88.9
2006-03-22,4.58,4.7,88.9
2006-03-23,4.64,4.7,88.9
2006-03-24,4.69,4.7,88.9
2006-03-27,4.77,4.7,88.9
2006-03-28,4.7,4.7,88.9
2006-03-29,4.69,4.7,88.9
2006-03-30,4.76,4.7,88.9
2006-03-31,5.0,4.7,88.9
2006-04-03,4.87,4.7,87.4
2006-04-04,4.76,4.7,87.4
2006-04-05,4.76,4.7,87.4
2006-04-06,4.76,4.7,87.4
2006-04-07,4.76,4.7,87.4
2006-04-10,4.78,4.7,87.4
2006-04-11,4.74,4.7,87.4
2006-04-12,4.78,4.7,87.4
2006-04-13,4.82,4.7,87.4
2006-04-14,4.8,4.7,87.4
2006-04-17,4.78,4.7,87.4
2006-04-18,4.72,4.7,87.4
2006-04-19,4.7,4.7,87.4
2006-04-20,4.73,4.7,87.4
2006-04-21,4.74,4.7,87.4
2006-04-24,4.77,4.7,87.4
2006-04-25,4.74,4.7,87.4
2006-04-26,4.73,4.7,87.4
2006-04-27,4.79,4.7,87.4
2006-04-28,4.86,4.7,87.4
2006-05-01,4.84,4.6,79.1
2006-05-02,4.79,4.6,79.1
2006-05-03,4.81,4.6,79.1
2006-05-04,4.83,4.6,79.1
2006-05-05,4.83,4.6,79.1
2006-05-08,4.88,4.6,79.1
2006-05-09,4.78,4.6,79.1
2006-05-10,4.88,4.6,79.1
2006-05-11,4.99,4.6,79.1
2006-05-12,5.01,4.6,79.1
2006-05-15,5.01,4.6,79.1
