,Open,High,Low,Close,Volume
2024-12-24 04:00:00,254.6300,255.4900,254.6300,255.2400,6064
2024-12-24 04:15:00,255.2400,255.4700,255.2400,255.3700,2151
2024-12-24 04:30:00,255.3700,255.5000,255.3000,255.4500,4980
2024-12-24 04:45:00,255.5000,255.5900,255.4100,255.5000,2601
2024-12-24 05:00:00,255.5200,255.6700,255.5000,255.5100,1588
2024-12-24 05:15:00,255.5100,255.5600,255.4300,255.4700,3355
2024-12-24 05:30:00,255.4900,255.5000,255.3500,255.3900,2093
2024-12-24 05:45:00,255.3800,255.5500,255.3800,255.4900,2894
2024-12-24 06:00:00,255.5400,255.8900,255.5300,255.6000,3196
2024-12-24 06:15:00,255.6000,255.6000,255.5500,255.5800,629
2024-12-24 06:30:00,255.5800,255.6100,255.5600,255.6000,1670
2024-12-24 06:45:00,255.6000,255.6300,255.4300,255.4900,2479
2024-12-24 07:00:00,255.4400,255.5000,255.0000,255.2000,12726
2024-12-24 07:15:00,255.2700,255.4200,255.2200,255.2500,4342
2024-12-24 07:30:00,255.2400,255.3200,255.1700,255.3000,2032
2024-12-24 07:45:00,255.2700,255.3700,255.2300,255.2600,3313
2024-12-24 08:00:00,255.2700,255.7026,254.8000,255.1000,285353
2024-12-24 08:15:00,255.1000,255.2900,255.0000,255.0600,7090
2024-12-24 08:30:00,255.0100,255.2900,255.0100,255.2500,9914
2024-12-24 08:45:00,255.1500,255.4000,255.1200,255.3500,7789
2024-12-24 09:00:00,255.3800,255.5000,255.3000,255.4250,14419
2024-12-24 09:15:00,255.4000,255.4899,254.9500,255.4800,43099
2024-12-24 09:30:00,255.4900,257.0000,255.2900,256.6700,2490378
2024-12-24 09:45:00,256.6200,257.0000,256.2600,256.7650,1093375
2024-12-24 10:00:00,256.7900,257.4500,256.5600,257.1800,1201747
2024-12-24 10:15:00,257.2000,257.3599,256.8800,257.1050,1384521
2024-12-24 10:30:00,257.1150,257.7700,257.1000,257.7300,991891
2024-12-24 10:45:00,257.7400,258.0100,257.5106,257.5500,1273075
2024-12-24 11:00:00,257.5400,257.7200,257.4500,257.5000,756247
2024-12-24 11:15:00,257.5000,257.6700,257.2600,257.2930,908888
2024-12-24 11:30:00,257.2700,257.4700,257.2100,257.2250,1066261
2024-12-24 11:45:00,257.2300,257.3650,256.8701,257.0800,772704
2024-12-24 12:00:00,257.1100,257.4299,257.0000,257.3999,484599
2024-12-24 12:15:00,257.3900,257.5400,257.1900,257.3700,543198
2024-12-24 12:30:00,257.3776,257.5000,257.0900,257.1250,814934
2024-12-24 12:45:00,257.1250,258.2100,257.0500,258.2100,2544531
2024-12-24 13:00:00,258.1780,258.3600,257.9900,258.1800,7752955
