,Open,High,Low,Close,Volume
2024-12-24 04:00:00,254.6300,255.4900,254.6300,255.1900,490
2024-12-24 04:01:00,255.2900,255.4300,255.0100,255.2500,332
2024-12-24 04:02:00,255.2500,255.2600,255.0700,255.1500,146
2024-12-24 04:03:00,255.1900,255.2500,255.0000,255.1700,1011
2024-12-24 04:04:00,255.0900,255.3000,255.0000,255.1600,1311
2024-12-24 04:05:00,255.2200,255.2800,255.1900,255.2300,255
2024-12-24 04:06:00,255.2300,255.2700,255.1600,255.2200,26
2024-12-24 04:07:00,255.2100,255.2400,255.1400,255.1600,492
2024-12-24 04:08:00,255.1600,255.1600,255.1000,255.1500,300
2024-12-24 04:09:00,255.1300,255.1500,255.1000,255.1000,85
2024-12-24 04:10:00,255.1500,255.2000,255.1200,255.1700,1209
2024-12-24 04:11:00,255.1900,255.2000,255.1900,255.2000,132
2024-12-24 04:12:00,255.2100,255.2700,255.2100,255.2300,28
2024-12-24 04:13:00,255.2300,255.2800,255.2300,255.2300,113
2024-12-24 04:14:00,255.2700,255.2700,255.2300,255.2400,134
2024-12-24 04:15:00,255.2400,255.2400,255.2400,255.2400,2
2024-12-24 04:16:00,255.2600,255.2600,255.2400,255.2400,9
2024-12-24 04:17:00,255.2800,255.3900,255.2600,255.3900,263
2024-12-24 04:18:00,255.3700,255.4300,255.3600,255.4000,53
2024-12-24 04:19:00,255.4500,255.4700,255.4200,255.4200,49
2024-12-24 04:20:00,255.4700,255.4700,255.4000,255.4000,8
2024-12-24 04:21:00,255.4500,255.4500,255.3600,255.4300,101
2024-12-24 04:22:00,255.4200,255.4300,255.4200,255.4200,237
2024-12-24 04:23:00,255.4100,255.4500,255.3900,255.4200,165
2024-12-24 04:24:00,255.4200,255.4200,255.4000,255.4200,186
2024-12-24 04:25:00,255.4100,255.4200,255.3800,255.4200,585
2024-12-24 04:26:00,255.4300,255.4600,255.4200,255.4200,100
2024-12-24 04:27:00,255.4200,255.4300,255.4100,255.4200,157
2024-12-24 04:28:00,255.4100,255.4100,255.3900,255.4100,50
2024-12-24 04:29:00,255.4000,255.4000,255.3600,255.3700,186
2024-12-24 04:30:00,255.3700,255.4100,255.3300,255.3900,539
2024-12-24 04:31:00,255.3300,255.3900,255.3200,255.3900,55
2024-12-24 04:32:00,255.3200,255.4000,255.3000,255.3900,218
2024-12-24 04:33:00,255.4100,255.4200,255.3300,255.4200,20
2024-12-24 04:34:00,255.4000,255.4200,255.4000,255.4100,169
2024-12-24 04:35:00,255.4200,255.4500,255.4200,255.4500,100
2024-12-24 04:36:00,255.4300,255.4500,255.4200,255.4300,488
2024-12-24 04:37:00,255.4300,255.4500,255.4300,255.4300,91
2024-12-24 04:38:00,255.4200,255.4200,255.3600,255.3700,410
