,Open,High,Low,Close,Volume
2024-12-24 04:00:00,225.0000,225.5000,224.7700,225.2100,3097
2024-12-24 04:15:00,225.2300,225.3900,225.1600,225.1600,2411
2024-12-24 04:30:00,225.1600,225.2300,225.0500,225.1300,2018
2024-12-24 04:45:00,225.1700,225.3800,225.1700,225.2500,3910
2024-12-24 05:00:00,225.1800,225.2700,225.1500,225.2700,1054
2024-12-24 05:15:00,225.2000,225.3100,225.2000,225.2600,573
2024-12-24 05:30:00,225.2500,225.2500,225.1500,225.2000,1109
2024-12-24 05:45:00,225.1600,225.5000,225.1600,225.3900,3423
2024-12-24 06:00:00,225.4000,225.5500,225.3800,225.4600,3094
2024-12-24 06:15:00,225.5000,225.5000,225.3100,225.3300,840
2024-12-24 06:30:00,225.3300,225.3300,225.2000,225.2500,2066
2024-12-24 06:45:00,225.2700,225.2700,225.1200,225.2100,1070
2024-12-24 07:00:00,225.2100,225.4700,225.1200,225.2500,13894
2024-12-24 07:15:00,225.3000,225.5000,225.2400,225.2900,3812
2024-12-24 07:30:00,225.2500,225.3200,225.1300,225.2700,2873
2024-12-24 07:45:00,225.2600,225.6500,225.1900,225.6000,6896
2024-12-24 08:00:00,225.0360,225.7500,224.4980,225.4000,45714
2024-12-24 08:15:00,225.4119,225.7000,225.3000,225.5200,6665
2024-12-24 08:30:00,225.5000,225.7000,225.0600,225.4500,9472
2024-12-24 08:45:00,225.4213,225.7000,225.3900,225.6000,6157
2024-12-24 09:00:00,225.6500,225.8800,225.5400,225.8000,22407
2024-12-24 09:15:00,225.8500,227.1500,225.5200,226.9000,77555
2024-12-24 09:30:00,226.9400,227.4900,226.1300,227.3650,1598915
2024-12-24 09:45:00,227.3400,228.6000,227.3400,228.3601,1213219
2024-12-24 10:00:00,228.4000,228.5100,227.6101,227.8050,961099
2024-12-24 10:15:00,227.7900,228.0700,227.2700,227.9500,778004
2024-12-24 10:30:00,227.9500,229.1400,227.8900,229.0600,869176
2024-12-24 10:45:00,229.0400,229.1000,228.1601,228.5200,759395
2024-12-24 11:00:00,228.4900,228.7284,228.1000,228.4300,511103
2024-12-24 11:15:00,228.4200,228.7500,228.2300,228.4014,442366
2024-12-24 11:30:00,228.4100,228.7300,228.3500,228.6000,481252
2024-12-24 11:45:00,228.6261,228.9150,228.4500,228.5653,806932
2024-12-24 12:00:00,228.5740,228.9200,228.3861,228.9182,433660
2024-12-24 12:15:00,228.9200,228.9400,228.1601,228.4150,647021
2024-12-24 12:30:00,228.4100,228.8600,228.2800,228.5950,529062
2024-12-24 12:45:00,228.5950,229.1000,228.4587,228.9000,1297741
2024-12-24 13:00:00,229.0500,229.1650,224.5250,229.0350,7775579
2024-12-24 13:15:00,229.0500,229.0700,229.0000,229.0250,12804
2024-12-24 13:30:00,229.0250,229.0500,228.9300,228.9400,8169
2024-12-24 13:45:00,228.9400,230.2610,221.3652,228.9000,448895
2024-12-24 14:00:00,228.9500,228.9500,228.8000,228.8512,8404
2024-12-24 14:15:00,228.8750,228.9000,228.7500,228.8500,9221
2024-12-24 14:30:00,228.8500,228.9000,228.8000,228.8900,2713
2024-12-24 14:45:00,228.8700,228.8900,228.8600,228.8850,9734
2024-12-24 15:00:00,228.8850,228.8900,228.8300,228.8600,2500
2024-12-24 15:15:00,228.8700,228.9000,228.8300,228.8500,3414
2024-12-24 15:30:00,228.8700,228.9000,228.8000,228.8650,3961
2024-12-24 15:45:00,228.8400,229.0100,228.8000,228.8500,2892
2024-12-24 16:00:00,228.8900,228.8900,228.8000,228.8350,2082
2024-12-24 16:15:00,228.8100,229.0500,228.8000,228.8400,112208
2024-12-24 16:30:00,228.8400,228.8700,228.8100,228.8100,1209
2024-12-24 16:45:00,228.8300,228.8700,228.8100,228.8700,3653
2024-12-26 04:00:00,228.8100,229.3400,228.0000,228.9000,12537
2024-12-26 04:15:00,228.7900,228.8500,228.0900,228.3900,1947
2024-12-26 04:30:00,228.3000,228.9400,228.2600,228.8800,3095
2024-12-26 04:45:00,228.8600,228.8600,228.4000,228.4100,1670
2024-12-26 05:00:00,228.4500,228.5100,228.3300,228.3800,906
2024-12-26 05:15:00,228.3600,228.7800,228.2500,228.7400,1855
2024-12-26 05:30:00,228.7800,228.7800,228.6000,228.6000,1843
2024-12-26 05:45:00,228.5500,228.6300,228.3800,228.6000,1633
2024-12-26 06:00:00,228.5700,228.6700,228.4500,228.5700,778
2024-12-26 06:15:00,228.5700,228.6300,228.4400,228.5600,1768
2024-12-26 06:30:00,228.6000,228.6100,228.4500,228.4900,692
2024-12-26 06:45:00,228.5400,228.7300,228.4500,228.7300,1104
2024-12-26 07:00:00,228.7300,228.8500,228.6100,228.8000,12430
2024-12-26 07:15:00,228.8000,228.8500,228.2400,228.7000,9699
2024-12-26 07:30:00,228.7500,228.7900,228.1000,228.2200,10382
2024-12-26 07:45:00,228.1900,228.5400,228.1100,228.3700,7139
2024-12-26 08:00:00,228.6500,230.0000,225.0600,228.5200,40438
