,Open,High,Low,Close,Volume
2024-12-24 04:00:00,225.0000,225.5000,224.7700,225.2800,593
2024-12-24 04:01:00,225.2800,225.5000,225.2500,225.3200,340
2024-12-24 04:02:00,225.3900,225.3900,225.3100,225.3900,35
2024-12-24 04:03:00,225.3900,225.3900,225.2400,225.3900,110
2024-12-24 04:04:00,225.3400,225.3400,225.0800,225.0900,1101
2024-12-24 04:05:00,225.2700,225.2700,225.0200,225.1500,403
2024-12-24 04:06:00,225.2200,225.2600,225.1400,225.2600,29
2024-12-24 04:07:00,225.2200,225.2300,225.1500,225.2300,55
2024-12-24 04:08:00,225.1800,225.2300,225.1800,225.2300,20
2024-12-24 04:09:00,225.2300,225.2300,225.1500,225.1500,31
2024-12-24 04:10:00,225.2200,225.2200,225.2200,225.2200,6
2024-12-24 04:11:00,225.2300,225.2300,225.1500,225.1500,100
2024-12-24 04:12:00,225.2100,225.2300,225.1600,225.2300,235
2024-12-24 04:13:00,225.2100,225.2500,225.2100,225.2300,27
2024-12-24 04:14:00,225.2500,225.2500,225.2100,225.2100,12
2024-12-24 04:15:00,225.2300,225.2300,225.2100,225.2100,5
2024-12-24 04:16:00,225.2300,225.2300,225.2100,225.2200,9
2024-12-24 04:17:00,225.2600,225.2700,225.2200,225.2200,11
2024-12-24 04:18:00,225.2200,225.2900,225.2200,225.2800,62
2024-12-24 04:19:00,225.2800,225.3000,225.2700,225.2900,278
2024-12-24 04:20:00,225.3000,225.3500,225.3000,225.3500,826
2024-12-24 04:21:00,225.3600,225.3800,225.3200,225.3200,110
2024-12-24 04:22:00,225.3800,225.3900,225.3200,225.3600,331
2024-12-24 04:23:00,225.3500,225.3600,225.2500,225.2900,209
2024-12-24 04:24:00,225.2700,225.2800,225.2300,225.2300,114
2024-12-24 04:25:00,225.2200,225.2700,225.1900,225.1900,44
2024-12-24 04:26:00,225.2400,225.2400,225.1600,225.1600,204
2024-12-24 04:27:00,225.1600,225.2700,225.1600,225.2700,111
2024-12-24 04:28:00,225.2500,225.2900,225.1900,225.2900,33
2024-12-24 04:29:00,225.2300,225.2300,225.1600,225.1600,64
2024-12-24 04:30:00,225.1600,225.1600,225.1000,225.1400,343
2024-12-24 04:31:00,225.1000,225.1000,225.0900,225.0900,29
2024-12-24 04:32:00,225.1000,225.1200,225.1000,225.1100,150
2024-12-24 04:33:00,225.1100,225.1100,225.1100,225.1100,2
2024-12-24 04:34:00,225.1800,225.2200,225.1400,225.1800,180
2024-12-24 04:35:00,225.2200,225.2300,225.2200,225.2300,267
2024-12-24 04:36:00,225.2300,225.2300,225.2000,225.2000,168
2024-12-24 04:37:00,225.2300,225.2300,225.2100,225.2100,17
2024-12-24 04:38:00,225.1700,225.2000,225.1300,225.1300,121
2024-12-24 04:41:00,225.1100,225.1100,225.0500,225.0800,346
2024-12-24 04:42:00,225.0500,225.0800,225.0500,225.0800,96
2024-12-24 04:43:00,225.0700,225.0700,225.0700,225.0700,5
2024-12-24 04:44:00,225.0700,225.1300,225.0700,225.1300,294
2024-12-24 04:45:00,225.1700,225.2300,225.1700,225.2300,1119
2024-12-24 04:46:00,225.2300,225.2900,225.2000,225.2900,225
2024-12-24 04:47:00,225.2400,225.3500,225.1900,225.3000,1114
2024-12-24 04:48:00,225.2800,225.2900,225.1800,225.2800,229
2024-12-24 04:49:00,225.3500,225.3500,225.1800,225.1800,23
2024-12-24 04:50:00,225.2800,225.3600,225.2800,225.3600,16
2024-12-24 04:51:00,225.3800,225.3800,225.3600,225.3600,10
2024-12-24 04:52:00,225.3600,225.3600,225.2800,225.3000,75
2024-12-24 04:53:00,225.3200,225.3200,225.2800,225.3000,66
2024-12-24 04:54:00,225.2800,225.3200,225.2800,225.3200,41
2024-12-24 04:55:00,225.3000,225.3200,225.1800,225.1800,268
2024-12-24 04:56:00,225.2800,225.3400,225.2800,225.3400,58
2024-12-24 04:57:00,225.3400,225.3600,225.1800,225.2900,255
2024-12-24 04:58:00,225.2900,225.2900,225.1900,225.2000,109
2024-12-24 04:59:00,225.2600,225.2700,225.1700,225.2500,302
2024-12-24 05:00:00,225.1800,225.2500,225.1700,225.1700,130
2024-12-24 05:01:00,225.2300,225.2400,225.2000,225.2400,54
2024-12-24 05:02:00,225.2500,225.2500,225.1700,225.1700,7
2024-12-24 05:03:00,225.2400,225.2400,225.1700,225.2400,147
2024-12-24 05:04:00,225.2400,225.2400,225.1700,225.2400,20
2024-12-24 05:05:00,225.1700,225.2400,225.1500,225.1600,141
2024-12-24 05:06:00,225.1700,225.1700,225.1700,225.1700,1
2024-12-24 05:07:00,225.1500,225.1700,225.1500,225.1700,266
2024-12-24 05:08:00,225.1700,225.1700,225.1700,225.1700,9
2024-12-24 05:10:00,225.2100,225.2100,225.2100,225.2100,10
2024-12-24 05:11:00,225.2100,225.2100,225.2000,225.2000,144
2024-12-24 05:12:00,225.1800,225.2300,225.1800,225.2300,49
2024-12-24 05:13:00,225.2300,225.2500,225.2300,225.2500,10
2024-12-24 05:14:00,225.2000,225.2700,225.1900,225.2700,66
2024-12-24 05:15:00,225.2000,225.2000,225.2000,225.2000,12
2024-12-24 05:16:00,225.2600,225.2600,225.2600,225.2600,4
2024-12-24 05:17:00,225.2500,225.2500,225.2300,225.2300,4
2024-12-24 05:18:00,225.2300,225.2300,225.2300,225.2300,3
2024-12-24 05:19:00,225.2300,225.2400,225.2300,225.2300,12
2024-12-24 05:20:00,225.2300,225.2300,225.2100,225.2300,27
2024-12-24 05:21:00,225.2500,225.2500,225.2500,225.2500,2
2024-12-24 05:22:00,225.2300,225.2300,225.2300,225.2300,3
2024-12-24 05:24:00,225.2200,225.2700,225.2100,225.2700,39
2024-12-24 05:25:00,225.2600,225.2800,225.2600,225.2800,7
2024-12-24 05:26:00,225.2800,225.2900,225.2800,225.2800,75
2024-12-24 05:27:00,225.2800,225.3100,225.2100,225.2800,382
2024-12-24 05:28:00,225.2700,225.2700,225.2700,225.2700,2
2024-12-24 05:29:00,225.2600,225.2600,225.2600,225.2600,1
2024-12-24 05:30:00,225.2500,225.2500,225.1900,225.2400,133
2024-12-24 05:32:00,225.2500,225.2500,225.2100,225.2400,121
2024-12-24 05:33:00,225.2500,225.2500,225.2100,225.2300,152
2024-12-24 05:34:00,225.2500,225.2500,225.2200,225.2200,13
2024-12-24 05:35:00,225.2100,225.2100,225.1500,225.1900,401
2024-12-24 05:36:00,225.1500,225.1900,225.1500,225.1900,35
2024-12-24 05:37:00,225.1500,225.1500,225.1500,225.1500,1
2024-12-24 05:38:00,225.1800,225.1900,225.1700,225.1900,28
2024-12-24 05:39:00,225.1700,225.1700,225.1500,225.1500,16
2024-12-24 05:40:00,225.1800,225.1800,225.1800,225.1800,16
2024-12-24 05:41:00,225.1800,225.1800,225.1800,225.1800,109
2024-12-24 05:42:00,225.1800,225.2000,225.1800,225.1800,28
2024-12-24 05:43:00,225.1800,225.2000,225.1800,225.2000,28
2024-12-24 05:44:00,225.2000,225.2000,225.1800,225.2000,28
2024-12-24 05:45:00,225.1600,225.2200,225.1600,225.2200,10
2024-12-24 05:46:00,225.2200,225.2300,225.1700,225.1700,37
2024-12-24 05:48:00,225.2400,225.2600,225.2000,225.2600,291
2024-12-24 05:49:00,225.2600,225.3400,225.2600,225.3400,242
2024-12-24 05:50:00,225.3100,225.3600,225.3100,225.3600,4
2024-12-24 05:51:00,225.3600,225.3600,225.3600,225.3600,21
2024-12-24 05:52:00,225.3600,225.4700,225.3600,225.4000,936
2024-12-24 05:53:00,225.4900,225.5000,225.4300,225.4900,419
2024-12-24 05:54:00,225.4000,225.4900,225.3800,225.4700,262
2024-12-24 05:55:00,225.3800,225.3800,225.3800,225.3800,8
2024-12-24 05:56:00,225.4200,225.4200,225.4200,225.4200,1
2024-12-24 05:57:00,225.4100,225.4900,225.2900,225.3900,1172
2024-12-24 05:58:00,225.3900,225.3900,225.3900,225.3900,3
2024-12-24 05:59:00,225.3800,225.3900,225.3800,225.3900,17
2024-12-24 06:00:00,225.4000,225.4000,225.3900,225.4000,87
2024-12-24 06:01:00,225.4000,225.4300,225.4000,225.4100,144
2024-12-24 06:02:00,225.4100,225.5000,225.4100,225.4900,370
2024-12-24 06:03:00,225.4900,225.5000,225.4900,225.5000,462
2024-12-24 06:04:00,225.5000,225.5000,225.3800,225.4100,890
2024-12-24 06:05:00,225.4700,225.5200,225.3900,225.5200,292
2024-12-24 06:06:00,225.5000,225.5000,225.5000,225.5000,4
2024-12-24 06:07:00,225.5000,225.5500,225.5000,225.5000,530
2024-12-24 06:08:00,225.5100,225.5100,225.4500,225.4500,65
2024-12-24 06:09:00,225.4500,225.4500,225.4500,225.4500,1
2024-12-24 06:10:00,225.4500,225.4500,225.4500,225.4500,114
2024-12-24 06:11:00,225.4100,225.4900,225.4100,225.4900,56
2024-12-24 06:12:00,225.4500,225.4500,225.4300,225.4500,22
2024-12-24 06:13:00,225.4500,225.5000,225.4500,225.5000,6
2024-12-24 06:14:00,225.5000,225.5000,225.4600,225.4600,51
2024-12-24 06:15:00,225.5000,225.5000,225.4600,225.4600,68
2024-12-24 06:16:00,225.4500,225.4600,225.4000,225.4000,166
2024-12-24 06:17:00,225.4000,225.4000,225.3500,225.3500,100
2024-12-24 06:18:00,225.3200,225.4300,225.3200,225.4300,140
2024-12-24 06:19:00,225.4500,225.4500,225.4500,225.4500,2
2024-12-24 06:20:00,225.4100,225.4100,225.3600,225.3600,19
2024-12-24 06:21:00,225.4200,225.4200,225.4200,225.4200,5
2024-12-24 06:22:00,225.4100,225.4200,225.4100,225.4100,38
2024-12-24 06:23:00,225.3500,225.3500,225.3200,225.3200,8
2024-12-24 06:24:00,225.3300,225.3800,225.3100,225.3400,138
2024-12-24 06:26:00,225.3300,225.3300,225.3300,225.3300,61
2024-12-24 06:27:00,225.3400,225.3400,225.3400,225.3400,8
2024-12-24 06:28:00,225.3300,225.3500,225.3100,225.3500,27
2024-12-24 06:29:00,225.3300,225.3300,225.3300,225.3300,60
2024-12-24 06:30:00,225.3300,225.3300,225.3000,225.3000,2
2024-12-24 06:31:00,225.3100,225.3200,225.2900,225.2900,59
2024-12-24 06:32:00,225.3200,225.3200,225.3200,225.3200,20
2024-12-24 06:33:00,225.2600,225.3300,225.2200,225.3300,477
2024-12-24 06:34:00,225.2300,225.2400,225.2200,225.2200,1287
2024-12-24 06:35:00,225.2700,225.2700,225.2700,225.2700,1
2024-12-24 06:37:00,225.2900,225.2900,225.2000,225.2000,13
2024-12-24 06:39:00,225.2200,225.2900,225.2200,225.2900,38
2024-12-24 06:40:00,225.2600,225.2600,225.2400,225.2400,5
2024-12-24 06:41:00,225.2300,225.2300,225.2000,225.2000,17
2024-12-24 06:42:00,225.2300,225.2600,225.2000,225.2600,28
2024-12-24 06:43:00,225.2000,225.2500,225.2000,225.2000,97
2024-12-24 06:44:00,225.2400,225.2500,225.2300,225.2500,22
2024-12-24 06:45:00,225.2700,225.2700,225.2700,225.2700,6
2024-12-24 06:46:00,225.2600,225.2700,225.1200,225.1500,286
2024-12-24 06:47:00,225.1900,225.1900,225.1500,225.1800,97
2024-12-24 06:48:00,225.2100,225.2100,225.2000,225.2000,9
2024-12-24 06:49:00,225.2300,225.2300,225.1300,225.1300,92
2024-12-24 06:50:00,225.2000,225.2300,225.2000,225.2300,156
2024-12-24 06:51:00,225.2400,225.2400,225.2000,225.2300,11
2024-12-24 06:52:00,225.2200,225.2200,225.1300,225.1900,261
2024-12-24 06:53:00,225.1900,225.2100,225.1200,225.1900,8
2024-12-24 06:54:00,225.2100,225.2100,225.2100,225.2100,2
2024-12-24 06:55:00,225.2200,225.2200,225.2100,225.2100,42
2024-12-24 06:56:00,225.2100,225.2100,225.2100,225.2100,16
2024-12-24 06:57:00,225.1700,225.2100,225.1700,225.2100,10
2024-12-24 06:58:00,225.2200,225.2200,225.2200,225.2200,30
2024-12-24 06:59:00,225.2100,225.2100,225.1700,225.2100,44
2024-12-24 07:00:00,225.2100,225.2800,225.1200,225.2600,4403
2024-12-24 07:01:00,225.2600,225.3000,225.2600,225.3000,229
2024-12-24 07:02:00,225.3000,225.3000,225.2800,225.3000,14
2024-12-24 07:03:00,225.3000,225.3000,225.2700,225.2800,362
2024-12-24 07:05:00,225.2800,225.2800,225.2700,225.2800,202
2024-12-24 07:06:00,225.3200,225.3200,225.2600,225.2600,217
2024-12-24 07:07:00,225.2700,225.2700,225.2400,225.2500,408
2024-12-24 07:09:00,225.2400,225.2900,225.2100,225.2900,2624
2024-12-24 07:10:00,225.3300,225.4700,225.2300,225.3500,4940
2024-12-24 07:11:00,225.3500,225.3500,225.2500,225.2500,34
2024-12-24 07:12:00,225.3500,225.3600,225.2400,225.2500,9
2024-12-24 07:13:00,225.2500,225.3700,225.2500,225.2600,212
2024-12-24 07:14:00,225.2600,225.2600,225.2500,225.2500,240
2024-12-24 07:15:00,225.3000,225.3700,225.3000,225.3700,45
2024-12-24 07:16:00,225.3700,225.4700,225.3700,225.4700,46
2024-12-24 07:17:00,225.4600,225.4600,225.4000,225.4000,2
2024-12-24 07:18:00,225.4900,225.5000,225.4500,225.4800,446
2024-12-24 07:19:00,225.4800,225.4800,225.4500,225.4600,404
2024-12-24 07:20:00,225.4500,225.4700,225.4500,225.4500,434
2024-12-24 07:21:00,225.4500,225.4500,225.4500,225.4500,79
2024-12-24 07:22:00,225.4500,225.4800,225.4000,225.4000,429
2024-12-24 07:23:00,225.3700,225.3700,225.3100,225.3100,497
2024-12-24 07:24:00,225.3600,225.3800,225.2600,225.2700,369
2024-12-24 07:25:00,225.2500,225.3300,225.2500,225.3300,262
2024-12-24 07:26:00,225.3000,225.3000,225.3000,225.3000,2
2024-12-24 07:27:00,225.3700,225.3700,225.3600,225.3700,107
2024-12-24 07:28:00,225.3700,225.3700,225.3700,225.3700,65
2024-12-24 07:29:00,225.3700,225.3700,225.2400,225.2900,625
2024-12-24 07:30:00,225.2500,225.2900,225.2500,225.2500,44
2024-12-24 07:31:00,225.2500,225.2900,225.2500,225.2900,43
2024-12-24 07:32:00,225.3100,225.3200,225.3000,225.3000,37
2024-12-24 07:33:00,225.3000,225.3100,225.3000,225.3100,67
2024-12-24 07:34:00,225.3100,225.3200,225.3000,225.3100,331
2024-12-24 07:35:00,225.3100,225.3100,225.3100,225.3100,20
2024-12-24 07:36:00,225.3100,225.3200,225.2900,225.3100,434
2024-12-24 07:37:00,225.3000,225.3000,225.2800,225.2800,196
2024-12-24 07:38:00,225.2900,225.3000,225.2300,225.2300,217
2024-12-24 07:39:00,225.2000,225.2000,225.1300,225.1500,498
2024-12-24 07:40:00,225.2500,225.2500,225.1900,225.1900,16
2024-12-24 07:41:00,225.1900,225.2500,225.1900,225.2500,3
2024-12-24 07:42:00,225.2500,225.2800,225.2500,225.2800,505
2024-12-24 07:43:00,225.2800,225.2800,225.2600,225.2600,455
2024-12-24 07:44:00,225.2800,225.2800,225.2700,225.2700,7
2024-12-24 07:45:00,225.2600,225.2600,225.2500,225.2500,192
2024-12-24 07:46:00,225.2100,225.2100,225.2000,225.2000,10
2024-12-24 07:47:00,225.2000,225.2000,225.1900,225.1900,403
2024-12-24 07:48:00,225.2000,225.2300,225.2000,225.2300,813
2024-12-24 07:49:00,225.2300,225.3700,225.2300,225.3700,1005
2024-12-24 07:50:00,225.3500,225.4500,225.3500,225.4500,645
2024-12-24 07:51:00,225.4500,225.5000,225.4400,225.5000,318
2024-12-24 07:52:00,225.5000,225.5200,225.5000,225.5200,268
2024-12-24 07:53:00,225.5500,225.6000,225.5500,225.5700,449
2024-12-24 07:54:00,225.5800,225.6200,225.5500,225.6200,309
