,Open,High,Low,Close,Volume
2024-12-24 04:00:00,194.6500,195.1100,193.1900,195.1000,6540
2024-12-24 04:15:00,195.0800,195.4100,195.0700,195.1400,4668
2024-12-24 04:30:00,195.1500,195.2600,195.0000,195.0200,4082
2024-12-24 04:45:00,195.0200,195.0800,194.8600,194.9500,3336
2024-12-24 05:00:00,194.9800,195.0700,194.8500,194.9200,2188
2024-12-24 05:15:00,194.9300,195.1400,194.8800,194.9400,2293
2024-12-24 05:30:00,194.9300,194.9700,194.6800,194.7400,1537
2024-12-24 05:45:00,194.7300,194.9700,194.6700,194.9700,2742
2024-12-24 06:00:00,194.9700,195.1300,194.9500,195.0900,1048
2024-12-24 06:15:00,195.0700,195.0900,194.9500,195.0300,670
2024-12-24 06:30:00,195.0000,195.1200,194.9700,195.0600,1445
2024-12-24 06:45:00,195.0500,195.0900,194.8800,194.9700,3329
2024-12-24 07:00:00,194.9700,194.9900,194.8700,194.9000,2897
2024-12-24 07:15:00,194.9300,195.1800,194.8900,195.0100,7202
2024-12-24 07:30:00,195.0800,195.1300,194.8500,195.0200,3376
2024-12-24 07:45:00,195.0800,195.2000,195.0600,195.1800,1631
2024-12-24 08:00:00,194.4000,195.9988,194.4000,195.1800,27476
2024-12-24 08:15:00,195.1800,195.2700,194.9700,195.2100,13656
2024-12-24 08:30:00,195.2000,195.3200,194.6300,195.2800,24263
2024-12-24 08:45:00,195.3500,195.4700,195.0900,195.4500,18386
2024-12-24 09:00:00,195.4900,195.9000,195.3600,195.7800,24897
2024-12-24 09:15:00,195.7500,195.9000,194.6400,194.6700,46019
2024-12-24 09:30:00,194.8400,195.3300,193.7800,194.8300,1340435
2024-12-24 09:45:00,194.8300,195.5500,194.7500,195.3959,823388
2024-12-24 10:00:00,195.3800,195.6100,194.9700,195.2788,498028
2024-12-24 10:15:00,195.2800,195.4100,194.7300,195.3450,397717
2024-12-24 10:30:00,195.3400,195.8100,195.3000,195.8100,408420
2024-12-24 10:45:00,195.7700,195.8600,195.4200,195.6100,396547
2024-12-24 11:00:00,195.6050,195.7895,195.3200,195.6550,292922
2024-12-24 11:15:00,195.6600,195.7200,195.2700,195.3600,387895
2024-12-24 11:30:00,195.3500,195.4900,195.2000,195.4300,278719
