,Open,High,Low,Close,Volume
2024-12-24 04:00:00,194.6500,194.6500,193.1900,194.3000,2083
2024-12-24 04:01:00,194.9400,194.9400,194.2600,194.7000,478
2024-12-24 04:02:00,194.5700,194.9200,194.5700,194.7700,313
2024-12-24 04:03:00,194.9100,194.9100,194.6600,194.6700,54
2024-12-24 04:04:00,194.8000,194.8600,194.6700,194.7000,176
2024-12-24 04:05:00,194.8400,194.8400,194.6600,194.7500,187
2024-12-24 04:06:00,194.7900,195.0400,194.7700,195.0400,1079
2024-12-24 04:07:00,195.0900,195.1100,194.9800,194.9800,167
2024-12-24 04:08:00,194.9800,194.9800,194.7800,194.8500,1251
2024-12-24 04:09:00,194.9300,194.9300,194.8400,194.8500,54
2024-12-24 04:10:00,194.8400,194.8400,194.8000,194.8400,38
2024-12-24 04:11:00,194.8400,194.9700,194.8400,194.9700,87
2024-12-24 04:12:00,194.9700,194.9700,194.8900,194.8900,34
2024-12-24 04:13:00,194.8800,195.0900,194.8800,195.0900,396
2024-12-24 04:14:00,195.0800,195.1000,195.0000,195.1000,143
2024-12-24 04:15:00,195.0800,195.2500,195.0700,195.1900,1116
2024-12-24 04:16:00,195.1800,195.1800,195.0700,195.1500,4
2024-12-24 04:17:00,195.1700,195.2700,195.0700,195.1800,365
2024-12-24 04:18:00,195.2300,195.2700,195.1700,195.2300,167
2024-12-24 04:19:00,195.2400,195.2800,195.1400,195.2700,130
2024-12-24 04:20:00,195.2800,195.4000,195.2800,195.3600,182
2024-12-24 04:21:00,195.3900,195.4100,195.3400,195.3600,148
2024-12-24 04:22:00,195.3600,195.3700,195.0900,195.1700,293
2024-12-24 04:23:00,195.1400,195.2400,195.1400,195.2000,631
2024-12-24 04:24:00,195.2000,195.3700,195.1900,195.3700,263
2024-12-24 04:25:00,195.3700,195.3700,195.3700,195.3700,15
2024-12-24 04:26:00,195.3700,195.3700,195.1400,195.2700,156
2024-12-24 04:27:00,195.2000,195.2400,195.1600,195.1700,86
2024-12-24 04:28:00,195.2400,195.2400,195.1200,195.1200,190
2024-12-24 04:29:00,195.1400,195.1400,195.0700,195.1400,922
2024-12-24 04:30:00,195.1500,195.1900,195.1000,195.1900,274
2024-12-24 04:31:00,195.1800,195.1800,195.1800,195.1800,1
2024-12-24 04:32:00,195.2000,195.2600,195.1000,195.2600,505
2024-12-24 04:33:00,195.2500,195.2500,195.1000,195.1000,44
2024-12-24 04:34:00,195.2100,195.2300,195.1000,195.2300,82
2024-12-24 04:35:00,195.2000,195.2000,195.1800,195.1800,29
2024-12-24 04:36:00,195.1300,195.1800,195.0900,195.0900,303
2024-12-24 04:37:00,195.2100,195.2100,195.1200,195.2000,107
2024-12-24 04:38:00,195.0900,195.2000,195.0900,195.2000,73
2024-12-24 04:39:00,195.1100,195.2300,195.1000,195.2300,40
2024-12-24 04:40:00,195.1000,195.2000,195.1000,195.2000,104
2024-12-24 04:41:00,195.0900,195.2100,195.0000,195.1300,1916
2024-12-24 04:42:00,195.1400,195.2300,195.0300,195.0700,537
2024-12-24 04:43:00,195.0700,195.0700,195.0700,195.0700,17
2024-12-24 04:44:00,195.0700,195.0700,195.0100,195.0200,50
2024-12-24 04:45:00,195.0200,195.0500,195.0100,195.0500,271
