,Open,High,Low,Close,Volume
2024-12-24 04:00:00,20.2100,20.2700,20.1700,20.2300,19375
2024-12-24 04:15:00,20.2500,20.2500,20.2000,20.2300,16675
2024-12-24 04:30:00,20.2300,20.2400,20.2100,20.2400,13547
2024-12-24 04:45:00,20.2400,20.2500,20.2200,20.2300,5800
2024-12-24 05:00:00,20.2300,20.2400,20.2200,20.2400,3384
2024-12-24 05:15:00,20.2300,20.2400,20.2100,20.2400,3643
2024-12-24 05:30:00,20.2300,20.2700,20.2200,20.2500,6366
2024-12-24 05:45:00,20.2500,20.2700,20.2300,20.2400,6385
2024-12-24 06:00:00,20.2400,20.2400,20.2200,20.2300,2399
2024-12-24 06:15:00,20.2300,20.2300,20.2100,20.2100,3174
2024-12-24 06:30:00,20.2100,20.2300,20.2100,20.2200,2005
2024-12-24 06:45:00,20.2200,20.2200,20.2100,20.2200,3862
2024-12-24 07:00:00,20.2300,20.2500,20.2200,20.2400,9099
2024-12-24 07:15:00,20.2400,20.2700,20.2300,20.2600,10923
2024-12-24 07:30:00,20.2600,20.2700,20.2500,20.2600,10016
2024-12-24 07:45:00,20.2700,20.2900,20.2600,20.2900,9343
2024-12-24 08:00:00,20.2200,20.3000,20.1900,20.2902,843683
2024-12-24 08:15:00,20.2988,20.3500,20.2700,20.3100,87824
2024-12-24 08:30:00,20.3000,20.3400,20.2000,20.3198,47029
2024-12-24 08:45:00,20.3100,20.3500,20.3100,20.3350,71185
2024-12-24 09:00:00,20.3400,20.3500,20.3300,20.3402,49911
2024-12-24 09:15:00,20.3497,20.3800,20.1700,20.1800,286674
2024-12-24 09:30:00,20.2200,20.2300,19.9600,20.0600,3910838
2024-12-24 09:45:00,20.0700,20.1100,19.9700,20.0600,1513896
2024-12-24 10:00:00,20.0600,20.1900,20.0550,20.1900,1904915
2024-12-24 10:15:00,20.1850,20.3150,20.1550,20.2003,1774720
2024-12-24 10:30:00,20.2050,20.2600,20.1900,20.2225,1213546
2024-12-24 10:45:00,20.2200,20.2600,20.1700,20.2401,1040540
2024-12-24 11:00:00,20.2500,20.3200,20.2300,20.2900,1121777
2024-12-24 11:15:00,20.2869,20.3400,20.2500,20.2764,1164287
2024-12-24 11:30:00,20.2800,20.3200,20.2500,20.3100,726860
2024-12-24 11:45:00,20.3020,20.3500,20.2900,20.3050,1434885
2024-12-24 12:00:00,20.3050,20.3400,20.3000,20.3250,891793
2024-12-24 12:15:00,20.3282,20.3700,20.3200,20.3603,1129675
2024-12-24 12:30:00,20.3623,20.3623,20.2550,20.2800,1485688
2024-12-24 12:45:00,20.2800,20.4000,20.2400,20.3900,3601969
2024-12-24 13:00:00,20.4000,20.4300,19.5400,20.4200,8360006
2024-12-24 13:15:00,20.4000,20.4200,20.3700,20.4200,52739
2024-12-24 13:30:00,20.4100,20.4100,20.3900,20.4099,443647
2024-12-24 13:45:00,20.4050,20.7805,20.4000,20.4100,1200590
2024-12-24 14:00:00,20.4100,20.4200,20.3500,20.3800,21249
2024-12-24 14:15:00,20.3800,20.3900,20.3500,20.3603,4417
2024-12-24 14:30:00,20.3600,20.3900,20.3600,20.3600,11948
2024-12-24 14:45:00,20.3600,20.3900,20.3600,20.3700,23306
2024-12-24 15:00:00,20.3700,20.3800,20.3500,20.3700,12725
2024-12-24 15:15:00,20.3700,20.4101,20.3600,20.3600,4689
2024-12-24 15:30:00,20.3700,20.3700,20.3400,20.3600,43656
2024-12-24 15:45:00,20.3500,20.3600,20.3200,20.3200,20403
2024-12-24 16:00:00,20.3300,20.3500,20.3200,20.3399,12995
2024-12-24 16:15:00,20.3400,20.4000,20.3200,20.3300,396345
2024-12-24 16:30:00,20.3200,20.3300,20.3000,20.3100,10888
2024-12-24 16:45:00,20.3100,20.3300,20.3000,20.3002,19576
2024-12-26 04:00:00,20.3800,20.4000,20.2300,20.3100,51253
2024-12-26 04:15:00,20.2900,20.3000,20.2400,20.2500,20122
2024-12-26 04:30:00,20.2400,20.2800,20.2400,20.2600,7854
2024-12-26 04:45:00,20.2500,20.2600,20.2000,20.2000,7981
2024-12-26 05:00:00,20.2200,20.2300,20.1500,20.2100,26864
2024-12-26 05:15:00,20.2000,20.2500,20.2000,20.2400,13059
2024-12-26 05:30:00,20.2400,20.2500,20.2400,20.2400,12090
2024-12-26 05:45:00,20.2400,20.2600,20.2400,20.2500,5710
2024-12-26 06:00:00,20.2500,20.2600,20.2400,20.2600,4185
2024-12-26 06:15:00,20.2400,20.2600,20.2400,20.2500,2557
2024-12-26 06:30:00,20.2600,20.2800,20.2500,20.2600,4162
2024-12-26 06:45:00,20.2700,20.2800,20.2500,20.2700,6389
2024-12-26 07:00:00,20.2800,20.3200,20.2400,20.2900,39991
2024-12-26 07:15:00,20.2900,20.3100,20.2800,20.3100,7926
2024-12-26 07:30:00,20.3000,20.3100,20.2400,20.2600,18651
2024-12-26 07:45:00,20.2600,20.2800,20.2600,20.2800,4734
2024-12-26 08:00:00,20.3300,20.4500,20.1801,20.2800,159974
2024-12-26 08:15:00,20.2701,20.2900,20.2600,20.2799,24114
2024-12-26 08:30:00,20.2800,20.2800,20.2500,20.2500,34901
2024-12-26 08:45:00,20.2500,20.4000,20.2000,20.2100,32269
2024-12-26 09:00:00,20.2100,20.2900,20.2000,20.2100,71064
2024-12-26 09:15:00,20.2101,20.2400,20.1800,20.2300,87231
2024-12-26 09:30:00,20.2300,20.3600,20.0800,20.3300,2683924
2024-12-26 09:45:00,20.3397,20.5500,20.2800,20.5462,2359634
2024-12-26 10:00:00,20.5400,20.6500,20.5100,20.5450,2523504
2024-12-26 10:15:00,20.5500,20.5900,20.5100,20.5700,1284468
2024-12-26 10:30:00,20.5700,20.6500,20.5500,20.5752,1303262
2024-12-26 10:45:00,20.5750,20.6650,20.5600,20.6300,1259957
2024-12-26 11:00:00,20.6350,20.6600,20.5800,20.6276,1010703
2024-12-26 11:15:00,20.6250,20.6488,20.5500,20.5800,1121818
2024-12-26 11:30:00,20.5750,20.6200,20.5600,20.5600,857160
2024-12-26 11:45:00,20.5650,20.6200,20.5200,20.6050,1406636
2024-12-26 12:00:00,20.6050,20.6350,20.5800,20.5950,1089672
2024-12-26 12:15:00,20.5950,20.6000,20.5200,20.5350,779364
2024-12-26 12:30:00,20.5350,20.5900,20.5000,20.5200,962598
2024-12-26 12:45:00,20.5250,20.5300,20.4300,20.4700,1379390
2024-12-26 13:00:00,20.4703,20.5100,20.4400,20.4689,739087
2024-12-26 13:15:00,20.4700,20.5000,20.4550,20.4886,573330
