,Open,High,Low,Close,Volume
2024-12-24 04:00:00,20.2100,20.2700,20.1700,20.1900,3878
2024-12-24 04:01:00,20.1800,20.2200,20.1800,20.2200,398
2024-12-24 04:02:00,20.2000,20.2400,20.2000,20.2300,1238
2024-12-24 04:03:00,20.2400,20.2600,20.2200,20.2600,629
2024-12-24 04:04:00,20.2200,20.2500,20.2200,20.2300,1236
2024-12-24 04:05:00,20.2300,20.2500,20.2000,20.2100,2846
2024-12-24 04:06:00,20.2100,20.2200,20.2000,20.2200,507
2024-12-24 04:07:00,20.2200,20.2200,20.2000,20.2200,2696
2024-12-24 04:08:00,20.2200,20.2200,20.2000,20.2200,516
2024-12-24 04:09:00,20.2000,20.2200,20.1900,20.1900,799
2024-12-24 04:10:00,20.2000,20.2500,20.2000,20.2500,3011
2024-12-24 04:11:00,20.2500,20.2500,20.2300,20.2300,14
2024-12-24 04:12:00,20.2400,20.2500,20.2300,20.2300,716
2024-12-24 04:13:00,20.2400,20.2400,20.2300,20.2300,461
2024-12-24 04:14:00,20.2400,20.2400,20.2300,20.2300,430
2024-12-24 04:15:00,20.2500,20.2500,20.2300,20.2300,47
2024-12-24 04:16:00,20.2500,20.2500,20.2300,20.2300,176
2024-12-24 04:17:00,20.2400,20.2500,20.2300,20.2400,2096
2024-12-24 04:18:00,20.2300,20.2400,20.2300,20.2400,309
2024-12-24 04:19:00,20.2400,20.2400,20.2300,20.2300,95
2024-12-24 04:20:00,20.2300,20.2400,20.2300,20.2300,366
2024-12-24 04:21:00,20.2300,20.2400,20.2300,20.2400,3321
2024-12-24 04:22:00,20.2400,20.2400,20.2000,20.2200,1874
2024-12-24 04:23:00,20.2200,20.2300,20.2200,20.2200,407
2024-12-24 04:24:00,20.2200,20.2300,20.2200,20.2200,203
2024-12-24 04:25:00,20.2200,20.2200,20.2200,20.2200,381
2024-12-24 04:26:00,20.2200,20.2200,20.2200,20.2200,1148
2024-12-24 04:27:00,20.2200,20.2300,20.2200,20.2300,671
2024-12-24 04:28:00,20.2300,20.2300,20.2200,20.2200,4855
2024-12-24 04:29:00,20.2300,20.2300,20.2200,20.2300,726
2024-12-24 04:30:00,20.2300,20.2300,20.2200,20.2200,412
2024-12-24 04:31:00,20.2250,20.2250,20.2100,20.2200,4738
2024-12-24 04:32:00,20.2200,20.2300,20.2200,20.2200,4865
2024-12-24 04:33:00,20.2200,20.2200,20.2100,20.2100,34
2024-12-24 04:34:00,20.2100,20.2400,20.2100,20.2400,875
2024-12-24 04:35:00,20.2300,20.2300,20.2200,20.2300,175
2024-12-24 04:36:00,20.2300,20.2400,20.2300,20.2300,252
2024-12-24 04:37:00,20.2300,20.2400,20.2200,20.2400,444
2024-12-24 04:38:00,20.2400,20.2400,20.2300,20.2300,14
2024-12-24 04:39:00,20.2300,20.2400,20.2300,20.2400,1218
2024-12-24 04:40:00,20.2400,20.2400,20.2200,20.2200,56
2024-12-24 04:41:00,20.2400,20.2400,20.2200,20.2400,209
2024-12-24 04:42:00,20.2300,20.2300,20.2300,20.2300,29
2024-12-24 04:43:00,20.2400,20.2400,20.2400,20.2400,12
2024-12-24 04:44:00,20.2300,20.2400,20.2300,20.2400,214
2024-12-24 04:45:00,20.2400,20.2400,20.2300,20.2300,391
2024-12-24 04:46:00,20.2400,20.2400,20.2300,20.2300,82
2024-12-24 04:47:00,20.2300,20.2500,20.2300,20.2500,506
2024-12-24 04:48:00,20.2400,20.2400,20.2300,20.2400,292
2024-12-24 04:49:00,20.2300,20.2300,20.2300,20.2300,4
2024-12-24 04:50:00,20.2300,20.2400,20.2300,20.2400,118
2024-12-24 04:51:00,20.2400,20.2400,20.2300,20.2400,140
2024-12-24 04:52:00,20.2400,20.2400,20.2400,20.2400,11
2024-12-24 04:53:00,20.2300,20.2300,20.2300,20.2300,580
2024-12-24 04:54:00,20.2200,20.2400,20.2200,20.2400,225
2024-12-24 04:55:00,20.2400,20.2400,20.2200,20.2200,532
2024-12-24 04:56:00,20.2200,20.2300,20.2200,20.2300,510
2024-12-24 04:57:00,20.2200,20.2300,20.2200,20.2300,1318
2024-12-24 04:58:00,20.2300,20.2400,20.2200,20.2200,1010
2024-12-24 04:59:00,20.2200,20.2300,20.2200,20.2300,81
2024-12-24 05:00:00,20.2300,20.2300,20.2300,20.2300,32
2024-12-24 05:01:00,20.2300,20.2400,20.2300,20.2300,220
2024-12-24 05:02:00,20.2300,20.2300,20.2300,20.2300,112
2024-12-24 05:03:00,20.2300,20.2300,20.2200,20.2200,14
2024-12-24 05:04:00,20.2300,20.2300,20.2300,20.2300,315
2024-12-24 05:05:00,20.2300,20.2300,20.2300,20.2300,11
2024-12-24 05:06:00,20.2200,20.2300,20.2200,20.2200,294
2024-12-24 05:07:00,20.2300,20.2300,20.2200,20.2300,138
2024-12-24 05:08:00,20.2300,20.2300,20.2200,20.2200,8
2024-12-24 05:09:00,20.2300,20.2300,20.2200,20.2300,1040
