,Open,High,Low,Close,Volume
2024-12-24 04:00:00,602.0000,603.2200,598.4000,602.8000,2059
2024-12-24 04:15:00,602.5100,603.8100,602.5100,603.7900,757
2024-12-24 04:30:00,603.1100,603.7300,602.8500,603.3500,854
2024-12-24 04:45:00,603.2500,603.7800,603.1500,603.4600,1205
2024-12-24 05:00:00,603.3900,603.6800,603.1400,603.5400,614
2024-12-24 05:15:00,603.2200,603.4700,602.2000,602.4500,1809
2024-12-24 05:30:00,602.4000,602.9600,602.2200,602.7000,870
2024-12-24 05:45:00,602.7000,603.0400,602.5000,602.8300,715
2024-12-24 06:00:00,602.8300,603.2800,602.6600,602.9700,797
2024-12-24 06:15:00,602.9900,603.5200,602.4300,602.5400,1634
2024-12-24 06:30:00,602.4300,602.8600,602.4300,602.8100,193
2024-12-24 06:45:00,602.8100,602.9900,602.4000,602.9900,693
2024-12-24 07:00:00,602.7700,604.0400,602.4400,603.8900,4105
2024-12-24 07:15:00,603.8200,604.0100,603.0000,603.1200,5016
2024-12-24 07:30:00,603.3500,603.4900,603.0000,603.2400,1703
2024-12-24 07:45:00,603.2400,603.6000,603.1000,603.6000,1912
2024-12-24 08:00:00,602.0250,604.2900,599.8500,603.2100,22916
2024-12-24 08:15:00,603.4000,604.7500,603.0200,604.6100,10951
2024-12-24 08:30:00,604.6100,605.8000,604.5000,605.2800,13141
2024-12-24 08:45:00,605.2000,605.7500,604.6500,605.1500,6642
2024-12-24 09:00:00,605.1500,605.5000,604.9000,605.5000,8198
2024-12-24 09:15:00,605.2500,605.5000,601.3000,602.3300,36325
2024-12-24 09:30:00,602.7150,603.4475,599.2849,601.5700,618793
2024-12-24 09:45:00,601.5700,604.4300,601.5201,603.7400,472359
2024-12-24 10:00:00,603.8800,604.9599,602.7400,603.7288,306102
2024-12-24 10:15:00,603.7400,606.1882,603.5200,606.1228,250194
2024-12-24 10:30:00,606.0900,607.1500,605.4500,606.7926,215815
2024-12-24 10:45:00,606.7350,606.9500,604.7101,605.2750,159921
2024-12-24 11:00:00,605.3900,606.0400,604.2400,605.6200,203545
2024-12-24 11:15:00,605.6600,606.3388,605.1500,606.2350,182576
2024-12-24 11:30:00,606.2400,606.4000,605.5358,606.2100,241689
2024-12-24 11:45:00,606.1400,606.6100,604.8100,605.0304,181970
2024-12-24 12:00:00,604.9200,605.3900,604.7500,605.3250,171285
2024-12-24 12:15:00,605.3400,605.4000,604.7100,604.7801,156545
2024-12-24 12:30:00,604.8600,605.7600,604.1800,605.7300,172704
2024-12-24 12:45:00,605.6800,607.9900,605.3000,607.9900,520945
2024-12-24 13:00:00,607.7300,608.3000,591.1850,607.8800,1316501
2024-12-24 13:15:00,607.8900,608.1000,607.7500,608.1000,5523
2024-12-24 13:30:00,607.7500,608.1000,607.7500,607.9000,12121
2024-12-24 13:45:00,607.9500,608.0000,586.5259,607.7600,4401
2024-12-24 14:00:00,607.8000,608.0000,606.4000,607.4300,2897
2024-12-24 14:15:00,607.4300,607.7500,607.1100,607.7300,843
2024-12-24 14:30:00,607.7400,607.7500,607.1100,607.5950,1676
2024-12-24 14:45:00,607.5950,607.7500,607.3000,607.7488,519
2024-12-24 15:00:00,607.6100,607.7500,607.3000,607.7300,1120
2024-12-24 15:15:00,607.3000,607.7500,607.3000,607.6100,1892
2024-12-24 15:30:00,607.5400,607.7500,607.5400,607.6000,909
2024-12-24 15:45:00,607.6700,607.7700,607.5400,607.6400,833
2024-12-24 16:00:00,607.5400,607.9900,607.5400,607.6200,559
2024-12-24 16:15:00,607.6200,607.9800,607.3900,607.6850,1637
2024-12-24 16:30:00,607.8220,607.9888,607.3900,607.8700,660
2024-12-24 16:45:00,607.9000,608.0000,607.4610,607.9800,3487
2024-12-26 04:00:00,608.1000,608.8900,607.4900,607.7100,2516
2024-12-26 04:15:00,607.6800,608.2800,606.1200,606.5900,2843
2024-12-26 04:30:00,606.3400,607.4900,606.1200,606.6200,1557
2024-12-26 04:45:00,606.8700,607.4300,605.6500,605.6500,2810
2024-12-26 05:00:00,605.8500,605.8500,604.9700,604.9700,1511
2024-12-26 05:15:00,605.0300,605.6000,604.9000,605.0000,1778
2024-12-26 05:30:00,605.4300,606.5100,605.2300,606.4800,1880
2024-12-26 05:45:00,606.4800,606.7300,605.5000,606.2500,1221
2024-12-26 06:00:00,606.2500,606.4600,605.7100,606.0000,591
2024-12-26 06:15:00,605.7300,606.1300,605.0600,605.0800,916
2024-12-26 06:30:00,605.7800,605.8200,605.0800,605.6000,1016
2024-12-26 06:45:00,605.4900,605.9000,605.2600,605.9000,1709
2024-12-26 07:00:00,605.9000,606.7000,605.2600,605.4200,2485
2024-12-26 07:15:00,605.6500,606.2000,605.4600,606.0100,1833
2024-12-26 07:30:00,606.1200,606.2900,605.7000,605.8400,2020
2024-12-26 07:45:00,605.8400,606.0600,605.7000,605.9100,2507
2024-12-26 08:00:00,606.0000,612.2000,599.8500,605.7700,17511
2024-12-26 08:15:00,605.8500,606.0000,605.3000,605.6000,7117
2024-12-26 08:30:00,605.4500,606.0000,604.2300,605.5500,10343
2024-12-26 08:45:00,605.8000,606.0000,604.5661,605.0000,9434
2024-12-26 09:00:00,604.7750,605.4000,604.5000,605.0000,3807
2024-12-26 09:15:00,604.8800,606.0000,604.3000,605.9000,8247
2024-12-26 09:30:00,605.4800,606.3000,601.7700,601.8627,475721
2024-12-26 09:45:00,601.8200,603.3100,598.9400,602.2936,417706
2024-12-26 10:00:00,602.2936,603.2499,601.5801,603.0500,281975
2024-12-26 10:15:00,603.0250,604.6000,602.0202,603.9475,336056
2024-12-26 10:30:00,603.7742,604.1400,602.0600,602.1900,252785
2024-12-26 10:45:00,602.2200,603.8299,602.0900,603.2865,135091
2024-12-26 11:00:00,603.1600,603.3200,602.2800,603.0000,146795
2024-12-26 11:15:00,602.9900,603.1200,601.1850,601.4536,160472
2024-12-26 11:30:00,601.4000,603.1999,601.3001,602.9900,158251
2024-12-26 11:45:00,602.9200,602.9350,601.9000,602.3400,148513
2024-12-26 12:00:00,602.3200,603.0600,601.9500,602.8100,164477
2024-12-26 12:15:00,602.9300,603.1800,601.8050,601.8850,157759
2024-12-26 12:30:00,601.9600,602.2400,601.3692,601.5000,131599
2024-12-26 12:45:00,601.4800,601.5800,599.6301,601.2019,215634
2024-12-26 13:00:00,601.1999,602.2986,601.0300,601.9300,172897
2024-12-26 13:15:00,601.8100,603.6600,601.8100,603.0420,135508
2024-12-26 13:30:00,603.0100,604.2500,602.7001,603.2800,141070
2024-12-26 13:45:00,603.0801,604.0100,603.0801,603.6000,120407
2024-12-26 14:00:00,603.4500,604.2500,603.2201,603.3400,90729
2024-12-26 14:15:00,603.3500,603.4400,603.0200,603.2700,77676
2024-12-26 14:30:00,603.3150,604.5900,603.1401,604.3800,158491
2024-12-26 14:45:00,604.3750,605.5200,604.2400,605.5200,159862
2024-12-26 15:00:00,605.4500,605.6800,604.4900,604.4950,153858
2024-12-26 15:15:00,604.6100,605.0300,604.4800,604.9400,136522
2024-12-26 15:30:00,604.8600,605.3000,604.5400,604.7850,152044
2024-12-26 15:45:00,604.8900,604.9900,602.9100,603.3700,433453
2024-12-26 16:00:00,603.3700,625.7350,602.4000,603.2800,1554529
2024-12-26 16:15:00,603.2800,603.3500,602.9000,603.1100,1162
2024-12-26 16:30:00,603.1100,603.2800,602.9500,603.2600,2448
2024-12-26 16:45:00,603.1350,603.3500,603.0000,603.2800,7662
2024-12-26 17:00:00,603.3300,603.3500,602.9500,603.0950,4347
2024-12-26 17:15:00,603.0950,603.2500,602.9500,603.1000,1594
2024-12-26 17:30:00,603.2299,619.7839,563.0900,602.9850,9586
2024-12-26 17:45:00,602.9800,603.1200,602.9400,603.0400,1089
2024-12-26 18:00:00,603.0400,603.1200,602.9650,603.0000,1294
2024-12-26 18:15:00,602.9700,603.2400,602.9500,603.1100,1021
2024-12-26 18:30:00,603.1100,603.2400,602.9300,602.9300,860
2024-12-26 18:45:00,602.9500,603.2500,602.9300,603.0450,1428
2024-12-26 19:00:00,603.0001,603.2700,603.0000,603.2000,1111
2024-12-26 19:15:00,603.0000,603.2000,602.5600,602.6800,3047
2024-12-26 19:30:00,602.7999,602.9400,602.5600,602.7500,1063
2024-12-26 19:45:00,602.8700,602.8900,602.5600,602.6900,1177
2024-12-27 04:00:00,602.7500,602.7500,600.1300,602.1200,2393
2024-12-27 04:15:00,602.2400,602.7000,602.1000,602.5200,598
2024-12-27 04:30:00,602.5200,602.5600,601.7300,602.0300,505
2024-12-27 04:45:00,602.0300,602.4300,601.7300,601.7300,250
2024-12-27 05:00:00,601.8100,602.0500,601.5700,601.6700,494
2024-12-27 05:15:00,601.6800,602.0200,601.6200,601.8800,230
2024-12-27 05:30:00,601.9600,602.4000,601.7500,602.3900,402
2024-12-27 05:45:00,602.2900,602.3900,602.0200,602.3800,186
2024-12-27 06:00:00,602.1500,602.3200,601.9400,602.0000,390
2024-12-27 06:15:00,602.0600,602.3900,602.0600,602.2100,350
2024-12-27 06:30:00,602.2500,602.3400,601.9100,602.0000,373
2024-12-27 06:45:00,602.0000,602.0000,601.1800,601.8400,893
2024-12-27 07:00:00,601.8000,603.0000,601.7000,602.8800,3676
2024-12-27 07:15:00,602.7000,603.0000,602.2000,602.4400,1741
2024-12-27 07:30:00,602.4400,602.6000,601.9500,602.2200,1043
2024-12-27 07:45:00,602.2200,602.6000,602.1800,602.4200,1188
2024-12-27 08:00:00,602.0000,603.5588,600.5512,601.7800,10791
2024-12-27 08:15:00,601.7700,602.4600,559.1400,602.1300,2828
2024-12-27 08:30:00,602.2000,602.4900,600.4000,601.0600,13025
2024-12-27 08:45:00,600.9900,601.7700,600.5000,600.6600,2708
2024-12-27 09:00:00,600.7000,601.1900,599.7500,600.6700,7235
2024-12-27 09:15:00,600.4000,601.2000,599.4000,599.4100,10022
2024-12-27 09:30:00,599.4100,601.8500,593.9650,594.8999,539249
2024-12-27 09:45:00,594.5400,596.0000,594.3800,595.2919,286974
2024-12-27 10:00:00,595.3400,595.5900,590.3200,591.2100,483843
2024-12-27 10:15:00,591.2000,593.3900,589.8300,591.2482,336255
