,Open,High,Low,Close,Volume
2024-12-24 04:00:00,602.0000,602.5000,598.4000,602.4900,268
2024-12-24 04:01:00,602.5000,602.7900,602.4900,602.5200,305
2024-12-24 04:02:00,602.4300,603.2200,602.4300,603.0000,209
2024-12-24 04:03:00,603.0900,603.0900,602.7900,602.8900,59
2024-12-24 04:04:00,602.8200,602.8900,602.2300,602.2600,372
2024-12-24 04:05:00,602.2900,602.5900,602.1300,602.5900,19
2024-12-24 04:06:00,602.2000,603.0000,602.1300,603.0000,163
2024-12-24 04:07:00,602.4800,602.9200,602.4800,602.9100,179
2024-12-24 04:08:00,602.9100,602.9100,602.4300,602.8500,49
2024-12-24 04:09:00,602.8300,602.8900,602.4000,602.8300,32
2024-12-24 04:10:00,602.7400,602.7700,602.7400,602.7700,5
2024-12-24 04:11:00,602.7600,602.7600,602.7600,602.7600,11
2024-12-24 04:12:00,602.7400,602.7400,602.5000,602.5000,22
2024-12-24 04:13:00,602.7000,603.0100,602.6900,602.8000,366
2024-12-24 04:15:00,602.5100,602.9600,602.5100,602.9600,19
2024-12-24 04:16:00,602.9600,602.9600,602.9600,602.9600,2
2024-12-24 04:17:00,603.0000,603.3300,603.0000,603.3300,38
2024-12-24 04:18:00,603.0200,603.2400,603.0200,603.2200,4
2024-12-24 04:19:00,603.5100,603.5100,603.2600,603.2600,21
2024-12-24 04:20:00,603.5000,603.5600,603.5000,603.5600,2
2024-12-24 04:21:00,603.3300,603.7700,603.2900,603.2900,130
2024-12-24 04:22:00,603.5000,603.7500,602.9600,603.5000,186
2024-12-24 04:23:00,603.6600,603.7300,603.0400,603.0400,177
2024-12-24 04:24:00,603.4800,603.6900,603.4800,603.6900,55
2024-12-24 04:25:00,603.6000,603.7900,603.5000,603.7600,37
2024-12-24 04:26:00,603.7900,603.8100,603.2500,603.8100,28
2024-12-24 04:27:00,603.7600,603.7600,603.7600,603.7600,2
2024-12-24 04:28:00,603.7600,603.8000,603.2100,603.8000,33
2024-12-24 04:29:00,603.5100,603.7900,603.5100,603.7900,23
2024-12-24 04:30:00,603.1100,603.7300,602.9600,603.4100,84
