,Open,High,Low,Close,Volume
2024-12-24 04:00:00,434.6900,436.1900,433.6000,434.4000,3691
2024-12-24 04:15:00,434.4500,434.7900,434.0100,434.7000,1884
2024-12-24 04:30:00,434.6800,434.9900,434.3300,434.9300,2015
2024-12-24 04:45:00,434.9700,435.1800,434.8000,435.1200,3499
2024-12-24 05:00:00,435.1200,435.1800,434.7000,434.8300,1331
2024-12-24 05:15:00,434.7000,434.8500,434.5700,434.5700,610
2024-12-24 05:30:00,434.5600,434.7100,434.5000,434.6300,780
2024-12-24 05:45:00,434.6100,435.0000,434.5900,435.0000,1950
2024-12-24 06:00:00,434.9900,435.0000,434.7900,434.8800,1065
2024-12-24 06:15:00,434.8800,434.9000,434.6600,434.8800,878
2024-12-24 06:30:00,434.7800,434.9000,434.6400,434.6600,1043
2024-12-24 06:45:00,434.6800,434.8900,434.3400,434.3400,1289
2024-12-24 07:00:00,434.4800,434.6300,434.2100,434.6300,1114
2024-12-24 07:15:00,434.5100,434.8200,434.4400,434.5500,1700
2024-12-24 07:30:00,434.5900,434.7800,434.3200,434.5700,1406
2024-12-24 07:45:00,434.5500,434.5500,434.0900,434.3100,668
2024-12-24 08:00:00,435.1740,436.5988,433.5000,434.3500,12466
2024-12-24 08:15:00,434.3500,434.5900,434.2000,434.3500,3219
2024-12-24 08:30:00,434.3500,448.5600,434.1000,434.4000,7568
2024-12-24 08:45:00,434.5700,435.0000,434.1500,434.8900,8939
2024-12-24 09:00:00,434.7400,435.0600,434.5800,434.9100,10299
2024-12-24 09:15:00,434.9000,434.9900,433.9000,434.6800,12256
2024-12-24 09:30:00,434.6500,436.3500,434.1900,435.6750,707090
2024-12-24 09:45:00,435.6200,436.3000,435.5500,436.0900,330601
2024-12-24 10:00:00,436.1100,437.3700,435.8850,437.1400,502413
2024-12-24 10:15:00,437.1800,437.6100,436.6000,437.2700,336238
2024-12-24 10:30:00,437.2550,438.5200,437.1400,438.3606,339684
2024-12-24 10:45:00,438.3500,438.6700,437.9200,438.1800,242920
2024-12-24 11:00:00,438.1994,438.3300,437.2308,437.9200,187899
2024-12-24 11:15:00,437.9700,438.3500,437.5000,437.5300,208533
2024-12-24 11:30:00,437.4700,438.1000,437.3700,438.0400,187981
2024-12-24 11:45:00,438.0625,438.2300,437.4400,437.5100,192077
2024-12-24 12:00:00,437.5000,438.4400,437.4000,438.4400,194089
2024-12-24 12:15:00,438.4200,438.6500,437.9900,438.5200,223297
2024-12-24 12:30:00,438.4900,439.0200,438.1000,438.3000,415134
2024-12-24 12:45:00,438.2950,439.6000,438.1500,439.2400,896920
2024-12-24 13:00:00,439.2400,439.8000,435.0800,439.5200,3704112
2024-12-24 13:15:00,439.3300,439.7500,439.0300,439.2950,80955
2024-12-24 13:30:00,439.3300,439.5000,439.0400,439.2650,2729
2024-12-24 13:45:00,439.3500,469.2531,411.2884,439.3227,60975
2024-12-24 14:00:00,439.3300,439.4800,439.0100,439.2000,1559
2024-12-24 14:15:00,439.2000,439.3900,439.0100,439.0900,966
2024-12-24 14:30:00,439.2000,439.3900,439.0100,439.2000,1190
