,Open,High,Low,Close,Volume
2024-12-24 04:00:00,434.6900,436.1900,433.6000,434.5500,376
2024-12-24 04:01:00,434.5500,434.9100,434.5500,434.6100,455
2024-12-24 04:02:00,434.6200,434.7500,434.6200,434.7000,93
2024-12-24 04:03:00,434.7200,434.7300,434.5700,434.6000,330
2024-12-24 04:04:00,434.7000,434.7400,434.5600,434.7100,141
2024-12-24 04:05:00,434.7100,434.7900,434.6300,434.6300,112
2024-12-24 04:06:00,434.7600,434.7900,434.6000,434.7900,128
2024-12-24 04:07:00,434.6100,434.8000,434.6100,434.6800,186
2024-12-24 04:08:00,434.7600,434.7600,434.7200,434.7300,3
2024-12-24 04:09:00,434.7300,434.7300,434.7000,434.7300,53
2024-12-24 04:10:00,434.7300,434.7900,434.6700,434.6700,22
2024-12-24 04:11:00,434.7000,434.7300,434.6700,434.6900,245
2024-12-24 04:12:00,434.6900,434.7000,434.6800,434.7000,19
2024-12-24 04:13:00,434.7200,434.7900,434.7200,434.7600,165
2024-12-24 04:14:00,434.6500,434.6800,434.3900,434.4000,1363
2024-12-24 04:15:00,434.4500,434.5600,434.4000,434.4000,38
2024-12-24 04:16:00,434.5000,434.5000,434.0100,434.4700,205
2024-12-24 04:17:00,434.2800,434.5200,434.2800,434.5200,187
2024-12-24 04:18:00,434.3400,434.4700,434.2800,434.4700,58
2024-12-24 04:19:00,434.4700,434.5700,434.2200,434.4500,63
2024-12-24 04:20:00,434.4600,434.5400,434.4000,434.5400,358
2024-12-24 04:21:00,434.7000,434.7400,434.5100,434.6000,268
2024-12-24 04:22:00,434.5900,434.6800,434.5100,434.6800,284
2024-12-24 04:23:00,434.5600,434.5600,434.5100,434.5100,6
2024-12-24 04:24:00,434.5300,434.7100,434.5100,434.7000,105
2024-12-24 04:25:00,434.7100,434.7900,434.7100,434.7900,49
2024-12-24 04:26:00,434.6700,434.7100,434.5800,434.5800,38
2024-12-24 04:27:00,434.6900,434.7000,434.6800,434.6800,135
2024-12-24 04:28:00,434.6900,434.7000,434.6800,434.6900,34
