,Open,High,Low,Close,Volume
2024-12-24 04:00:00,139.6900,140.2000,139.2900,140.0700,216802
2024-12-24 04:15:00,140.0700,140.2000,139.6000,139.6400,92630
2024-12-24 04:30:00,139.6300,139.9100,139.5700,139.7200,67055
2024-12-24 04:45:00,139.7200,139.9600,139.7100,139.9000,47319
2024-12-24 05:00:00,139.9000,139.9000,139.5300,139.5400,54724
2024-12-24 05:15:00,139.5400,139.7000,139.4000,139.5200,42808
2024-12-24 05:30:00,139.5300,139.7400,139.4200,139.4400,45945
2024-12-24 05:45:00,139.4500,139.6400,139.4100,139.6000,57104
2024-12-24 06:00:00,139.6100,139.7400,139.5300,139.6000,38951
2024-12-24 06:15:00,139.5900,139.6300,139.4400,139.5100,43650
2024-12-24 06:30:00,139.5100,139.5400,139.2300,139.3800,63005
2024-12-24 06:45:00,139.3800,139.5200,139.3200,139.3500,50041
2024-12-24 07:00:00,139.3800,140.3500,139.3400,140.3400,455572
2024-12-24 07:15:00,140.3400,140.5000,140.1700,140.2000,310475
2024-12-24 07:30:00,140.2000,140.3500,140.1000,140.2900,145512
2024-12-24 07:45:00,140.2900,140.4200,140.0000,140.3500,116043
2024-12-24 08:00:00,140.3400,140.5500,139.2440,140.4000,1707884
2024-12-24 08:15:00,140.3700,140.5000,140.0000,140.3800,235810
2024-12-24 08:30:00,140.3900,140.5000,139.6700,140.3800,174650
2024-12-24 08:45:00,140.3800,140.4000,140.1500,140.2300,243131
2024-12-24 09:00:00,140.2400,140.4700,140.2200,140.4200,271200
2024-12-24 09:15:00,140.4100,140.4500,128.7815,140.0100,519367
2024-12-24 09:30:00,140.0000,141.6200,139.3103,141.1950,16355011
2024-12-24 09:45:00,141.1900,141.8000,140.9000,141.6419,9041364
2024-12-24 10:00:00,141.6600,141.9000,140.8200,141.1700,8295722
2024-12-24 10:15:00,141.1800,141.2800,140.6100,140.8201,5513512
2024-12-24 10:30:00,140.8300,140.9700,140.2600,140.8000,7408135
2024-12-24 10:45:00,140.8050,141.3250,140.5200,141.2000,4874848
2024-12-24 11:00:00,141.2000,141.4099,140.9900,141.3401,3806590
2024-12-24 11:15:00,141.3400,141.4000,140.9100,141.3950,3759164
2024-12-24 11:30:00,141.4000,141.4000,140.9900,141.2246,3327213
2024-12-24 11:45:00,141.2201,141.2350,140.4600,140.5000,4330856
2024-12-24 12:00:00,140.5000,140.8300,140.4800,140.7512,3576663
2024-12-24 12:15:00,140.7518,141.0000,140.6300,140.7645,3701672
2024-12-24 12:30:00,140.7600,140.8300,138.6500,139.9400,8705910
2024-12-24 12:45:00,139.9600,140.3500,139.7200,140.3500,7466455
2024-12-24 13:00:00,140.3500,140.3500,135.9100,140.0900,13937644
2024-12-24 13:15:00,140.0900,140.2991,140.0100,140.0601,1240464
2024-12-24 13:30:00,140.0700,140.2200,139.9700,139.9797,207080
2024-12-24 13:45:00,139.9701,144.9087,130.5900,139.9600,475898
2024-12-24 14:00:00,139.9700,140.2200,139.9500,139.9695,85594
2024-12-24 14:15:00,139.9510,139.9800,139.7500,139.7500,124792
2024-12-24 14:30:00,139.7503,139.8000,139.6100,139.6600,89001
2024-12-24 14:45:00,139.6900,139.6900,139.6000,139.6100,49504
2024-12-24 15:00:00,139.6000,140.2200,139.5000,139.6400,101265
2024-12-24 15:15:00,139.6300,139.6600,139.6000,139.6300,49150
2024-12-24 15:30:00,139.6300,141.1600,139.6000,139.6400,50310
2024-12-24 15:45:00,139.6300,139.6600,139.5901,139.6300,48883
2024-12-24 16:00:00,139.6500,139.7000,139.5600,139.6500,45980
2024-12-24 16:15:00,139.6400,140.2200,139.6000,139.6600,69248
2024-12-24 16:30:00,139.6800,139.6800,139.5100,139.6501,54354
2024-12-24 16:45:00,139.6600,139.7900,139.6200,139.7400,71884
