,Open,High,Low,Close,Volume
2024-12-24 04:00:00,139.6900,140.0000,139.2900,139.6100,43627
2024-12-24 04:01:00,139.6400,139.7200,139.5400,139.6200,16215
2024-12-24 04:02:00,139.6200,139.7900,139.6100,139.7600,13510
2024-12-24 04:03:00,139.7500,139.9000,139.7300,139.9000,12646
2024-12-24 04:04:00,139.9000,139.9000,139.7700,139.8800,14517
2024-12-24 04:05:00,139.8600,139.9300,139.8600,139.9300,12842
2024-12-24 04:06:00,139.9300,140.1200,139.9000,140.1200,17557
2024-12-24 04:07:00,140.1300,140.1700,140.0400,140.0900,13313
2024-12-24 04:08:00,140.1200,140.1900,140.0800,140.1700,10690
2024-12-24 04:09:00,140.1300,140.1300,139.9300,140.0000,18896
2024-12-24 04:10:00,140.0400,140.1800,140.0400,140.0400,15809
2024-12-24 04:11:00,140.0500,140.1400,140.0500,140.1400,5047
2024-12-24 04:12:00,140.1200,140.2000,140.1200,140.1500,3922
2024-12-24 04:13:00,140.1500,140.1700,140.1200,140.1300,9035
2024-12-24 04:14:00,140.1200,140.1400,140.0000,140.0700,9176
2024-12-24 04:15:00,140.0700,140.0900,140.0500,140.0700,4561
2024-12-24 04:16:00,140.0800,140.1000,140.0500,140.0600,3749
2024-12-24 04:17:00,140.0600,140.1400,140.0500,140.1000,6210
2024-12-24 04:18:00,140.1000,140.1200,140.1000,140.1100,3045
2024-12-24 04:19:00,140.1200,140.1800,140.1200,140.1700,2970
2024-12-24 04:20:00,140.1900,140.2000,140.1200,140.1300,6929
2024-12-24 04:21:00,140.1500,140.1600,140.0400,140.0600,9191
2024-12-24 04:22:00,140.0400,140.0400,139.8300,139.8600,15383
2024-12-24 04:23:00,139.8300,139.9900,139.8300,139.9900,3449
2024-12-24 04:24:00,139.9800,140.0200,139.8700,139.8700,6283
2024-12-24 04:25:00,139.8800,139.9200,139.8400,139.9000,6389
2024-12-24 04:26:00,139.8900,139.8900,139.7100,139.7400,5115
2024-12-24 04:27:00,139.7500,139.8000,139.7200,139.7800,4563
2024-12-24 04:28:00,139.7600,139.8300,139.7600,139.7600,5839
2024-12-24 04:29:00,139.7600,139.7600,139.6000,139.6400,8954
2024-12-24 04:30:00,139.6300,139.7000,139.5700,139.7000,6407
2024-12-24 04:31:00,139.7000,139.7400,139.6500,139.6900,3925
2024-12-24 04:32:00,139.6900,139.8200,139.6800,139.8200,2523
2024-12-24 04:33:00,139.8300,139.8700,139.8000,139.8600,1254
2024-12-24 04:34:00,139.8600,139.8900,139.8600,139.8700,1191
2024-12-24 04:35:00,139.8700,139.9100,139.8600,139.9000,2067
2024-12-24 04:36:00,139.8900,139.9100,139.8300,139.8400,3787
2024-12-24 04:37:00,139.8500,139.8800,139.7100,139.7400,4816
2024-12-24 04:38:00,139.7400,139.7500,139.6500,139.6700,8275
2024-12-24 04:39:00,139.6800,139.7900,139.6000,139.6900,9185
2024-12-24 04:40:00,139.6900,139.7300,139.6900,139.7200,1052
2024-12-24 04:41:00,139.7200,139.7300,139.6000,139.6100,5639
2024-12-24 04:42:00,139.6100,139.6800,139.6100,139.6700,3662
2024-12-24 04:43:00,139.6700,139.7200,139.6500,139.7000,8491
2024-12-24 04:44:00,139.6800,139.7300,139.6700,139.7200,4781
2024-12-24 04:45:00,139.7200,139.8000,139.7100,139.7900,2040
2024-12-24 04:46:00,139.8000,139.8400,139.7800,139.8200,1114
2024-12-24 04:47:00,139.8200,139.8800,139.8200,139.8600,4226
2024-12-24 04:48:00,139.8800,139.8900,139.8200,139.8300,2537
2024-12-24 04:49:00,139.8300,139.8800,139.8100,139.8500,4993
2024-12-24 04:50:00,139.8700,139.8700,139.7900,139.7900,2544
2024-12-24 04:51:00,139.8000,139.8500,139.8000,139.8400,2599
2024-12-24 04:52:00,139.8500,139.9200,139.8400,139.8900,5114
2024-12-24 04:53:00,139.9200,139.9500,139.9200,139.9400,2093
