,Open,High,Low,Close,Volume
2024-12-24 04:00:00,85.4400,86.9400,85.4400,86.4000,1893
2024-12-24 04:15:00,86.5400,86.6300,86.4100,86.6300,728
2024-12-24 04:30:00,86.6000,86.8700,86.6000,86.7900,150
2024-12-24 04:45:00,86.6400,86.7800,86.6400,86.7800,13
2024-12-24 05:00:00,86.7000,86.7800,86.7000,86.7800,105
2024-12-24 05:15:00,86.7800,86.7800,86.7700,86.7700,82
2024-12-24 05:30:00,86.7800,86.8000,86.7000,86.7000,1045
2024-12-24 05:45:00,86.7600,86.7800,86.7300,86.7600,297
2024-12-24 06:00:00,86.7800,86.7800,86.0500,86.7500,761
2024-12-24 06:15:00,86.5400,86.7400,86.5300,86.7400,206
2024-12-24 06:30:00,86.6100,86.6100,86.5900,86.6100,436
2024-12-24 06:45:00,86.6200,86.6800,86.5900,86.6100,726
2024-12-24 07:00:00,86.7400,86.7600,86.5800,86.6200,450
2024-12-24 07:15:00,86.6900,86.8400,86.6900,86.7600,1082
2024-12-24 07:30:00,86.7700,86.7800,86.6900,86.7500,207
2024-12-24 07:45:00,86.7500,86.8000,86.7500,86.7600,24
2024-12-24 08:00:00,86.8000,86.9400,85.4400,86.8000,7781
2024-12-24 08:15:00,86.6400,86.8800,86.6400,86.7900,404
2024-12-24 08:30:00,86.6700,86.9000,86.6700,86.8800,308
2024-12-24 08:45:00,86.8000,87.0100,86.7400,87.0100,2615
2024-12-24 09:00:00,87.0000,87.1000,86.8000,87.1000,998
2024-12-24 09:15:00,87.0400,87.1000,86.7100,86.8600,3247
2024-12-24 09:30:00,86.9000,87.2000,86.5900,87.1300,469365
2024-12-24 09:45:00,87.1103,87.1700,86.8500,87.0950,297376
2024-12-24 10:00:00,87.0910,87.7500,87.0500,87.7200,340500
2024-12-24 10:15:00,87.7270,87.8400,87.6700,87.7300,124897
2024-12-24 10:30:00,87.7200,87.8700,87.6700,87.8650,122280
2024-12-24 10:45:00,87.8700,87.9900,87.7800,87.9900,128061
2024-12-24 11:00:00,87.9900,88.0237,87.7500,87.8500,132416
2024-12-24 11:15:00,87.8450,87.9223,87.7500,87.7700,108677
2024-12-24 11:30:00,87.7525,87.9000,87.7401,87.9000,116462
2024-12-24 11:45:00,87.8700,87.9500,87.7200,87.7750,107276
2024-12-24 12:00:00,87.7765,88.0000,87.7500,87.9400,88975
2024-12-24 12:15:00,87.9500,87.9800,87.8900,87.9450,75296
2024-12-24 12:30:00,87.9450,88.0600,87.8500,88.0300,134341
2024-12-24 12:45:00,88.0200,88.3300,87.9850,88.2200,433926
2024-12-24 13:00:00,88.2500,88.3900,87.9700,88.3000,1487729
2024-12-24 13:15:00,88.2500,88.3500,88.1000,88.1000,361
2024-12-24 13:30:00,88.2500,88.3500,87.9700,88.1650,611
2024-12-24 13:45:00,88.0000,88.3500,88.0000,88.1750,12509
2024-12-24 14:00:00,88.2400,88.3500,88.0100,88.0100,1154
2024-12-24 14:15:00,88.0100,88.3400,88.0100,88.1800,549
2024-12-24 14:30:00,88.1800,88.3400,88.0200,88.1000,696
2024-12-24 14:45:00,88.1000,88.3400,88.1000,88.2500,176
2024-12-24 15:00:00,88.0200,88.3400,88.0200,88.0300,606
2024-12-24 15:15:00,88.2000,88.3400,88.2000,88.3000,381
2024-12-24 15:30:00,88.3000,88.3300,88.2000,88.3200,380
2024-12-24 15:45:00,88.2600,88.3200,88.2000,88.2100,315
2024-12-24 16:00:00,88.2500,88.3000,88.2000,88.2000,202
2024-12-24 16:15:00,88.2000,88.3000,88.2000,88.2400,87
2024-12-24 16:30:00,88.2800,88.3000,88.2000,88.2200,2575
2024-12-24 16:45:00,88.2200,88.3000,88.2000,88.3000,513
2024-12-26 04:00:00,88.2000,88.9900,88.0200,88.1300,2008
2024-12-26 04:15:00,88.1100,88.1100,88.0000,88.0700,568
2024-12-26 04:30:00,88.0000,88.0800,88.0000,88.0500,955
2024-12-26 04:45:00,88.0400,88.1000,88.0000,88.0500,1471
2024-12-26 05:00:00,88.0500,88.0500,87.9200,87.9400,2191
2024-12-26 05:15:00,87.9500,87.9500,87.7600,87.7900,139
2024-12-26 05:30:00,87.8000,87.9500,87.7400,87.9500,36
2024-12-26 05:45:00,87.7700,87.9800,87.7600,87.9500,139
2024-12-26 06:00:00,87.8300,87.9600,87.8300,87.8400,50
2024-12-26 06:15:00,87.7900,87.9700,87.7900,87.9700,628
2024-12-26 06:30:00,87.9700,87.9900,87.9700,87.9900,138
2024-12-26 06:45:00,87.9900,88.0100,87.9800,87.9900,498
2024-12-26 07:00:00,88.0300,88.0600,87.9500,87.9500,2525
2024-12-26 07:15:00,87.9500,88.0000,87.9500,87.9900,144
2024-12-26 07:30:00,87.9600,88.0400,87.9500,87.9500,1150
2024-12-26 07:45:00,87.9900,88.0000,87.9100,87.9400,908
2024-12-26 08:00:00,88.0500,88.9988,87.0012,87.7900,5027
2024-12-26 08:15:00,87.5300,87.9100,87.5300,87.9000,353
2024-12-26 08:30:00,87.8500,88.0000,87.8000,87.9100,6287
2024-12-26 08:45:00,87.9100,88.0100,87.9000,87.9100,1527
2024-12-26 09:00:00,87.9000,88.0000,87.8561,87.9000,1215
2024-12-26 09:15:00,87.9100,87.9400,87.6000,87.7000,2417
2024-12-26 09:30:00,87.6000,87.9500,87.2600,87.8800,232846
2024-12-26 09:45:00,87.9000,88.0000,87.6564,87.8300,144629
2024-12-26 10:00:00,87.8300,88.0505,87.7900,88.0261,141125
2024-12-26 10:15:00,88.0571,88.3600,88.0100,88.3210,212614
2024-12-26 10:30:00,88.3200,88.4000,88.1500,88.1500,88718
2024-12-26 10:45:00,88.1550,88.3600,88.1500,88.3600,67914
