,Open,High,Low,Close,Volume
2024-12-24 04:00:00,85.4400,86.9400,85.4400,86.8000,133
2024-12-24 04:01:00,86.7500,86.7800,86.6900,86.7800,6
2024-12-24 04:02:00,86.9400,86.9400,86.2400,86.8900,14
2024-12-24 04:03:00,86.7200,86.7200,86.7200,86.7200,4
2024-12-24 04:04:00,86.1600,86.1600,85.5300,85.5500,320
2024-12-24 04:05:00,85.5200,86.3000,85.4800,86.3000,220
2024-12-24 04:06:00,86.7000,86.7200,86.7000,86.7100,104
2024-12-24 04:07:00,86.4100,86.4300,86.4000,86.4300,433
2024-12-24 04:08:00,86.4300,86.8700,86.1600,86.1600,415
2024-12-24 04:09:00,86.6500,86.7300,86.6500,86.7300,100
2024-12-24 04:10:00,86.8700,86.8700,86.8700,86.8700,1
2024-12-24 04:11:00,86.2300,86.2300,86.2300,86.2300,3
2024-12-24 04:12:00,86.5400,86.5500,86.5400,86.5500,115
2024-12-24 04:14:00,86.5000,86.5000,86.4000,86.4000,25
2024-12-24 04:15:00,86.5400,86.5400,86.5400,86.5400,1
2024-12-24 04:16:00,86.4100,86.4100,86.4100,86.4100,10
2024-12-24 04:18:00,86.5500,86.5600,86.5400,86.5600,290
2024-12-24 04:24:00,86.6100,86.6100,86.6100,86.6100,400
2024-12-24 04:28:00,86.6300,86.6300,86.6300,86.6300,7
2024-12-24 04:29:00,86.6300,86.6300,86.6300,86.6300,20
2024-12-24 04:30:00,86.6000,86.6000,86.6000,86.6000,5
2024-12-24 04:36:00,86.6200,86.6200,86.6200,86.6200,1
2024-12-24 04:38:00,86.7300,86.8700,86.7300,86.7800,22
2024-12-24 04:42:00,86.7800,86.7900,86.7800,86.7900,122
2024-12-24 04:46:00,86.6400,86.6400,86.6400,86.6400,6
2024-12-24 04:47:00,86.7800,86.7800,86.7800,86.7800,5
2024-12-24 04:52:00,86.7800,86.7800,86.7800,86.7800,1
2024-12-24 04:53:00,86.7800,86.7800,86.7800,86.7800,1
2024-12-24 05:00:00,86.7000,86.7000,86.7000,86.7000,15
2024-12-24 05:02:00,86.7800,86.7800,86.7800,86.7800,20
2024-12-24 05:13:00,86.7700,86.7800,86.7700,86.7800,70
2024-12-24 05:18:00,86.7800,86.7800,86.7800,86.7800,80
2024-12-24 05:19:00,86.7700,86.7700,86.7700,86.7700,1
2024-12-24 05:20:00,86.7700,86.7700,86.7700,86.7700,1
2024-12-24 05:32:00,86.7800,86.7800,86.7700,86.7800,127
2024-12-24 05:33:00,86.7900,86.8000,86.7800,86.8000,26
2024-12-24 05:35:00,86.7800,86.7800,86.7800,86.7800,38
2024-12-24 05:40:00,86.7800,86.7800,86.7500,86.7500,824
2024-12-24 05:42:00,86.7500,86.7500,86.7000,86.7000,30
2024-12-24 05:46:00,86.7600,86.7600,86.7600,86.7600,20
2024-12-24 05:52:00,86.7600,86.7600,86.7600,86.7600,100
2024-12-24 05:53:00,86.7600,86.7600,86.7600,86.7600,15
2024-12-24 05:55:00,86.7700,86.7700,86.7700,86.7700,1
2024-12-24 05:56:00,86.7800,86.7800,86.7800,86.7800,60
2024-12-24 05:58:00,86.7300,86.7600,86.7300,86.7600,101
2024-12-24 06:00:00,86.7800,86.7800,86.7800,86.7800,5
2024-12-24 06:07:00,86.6400,86.7000,86.0500,86.4800,741
2024-12-24 06:08:00,86.5300,86.5300,86.5300,86.5300,5
2024-12-24 06:09:00,86.5300,86.5300,86.5300,86.5300,5
2024-12-24 06:12:00,86.7500,86.7500,86.7500,86.7500,5
2024-12-24 06:18:00,86.5400,86.5400,86.5400,86.5400,7
2024-12-24 06:20:00,86.5300,86.5300,86.5300,86.5300,2
2024-12-24 06:25:00,86.5300,86.5300,86.5300,86.5300,1
2024-12-24 06:27:00,86.6000,86.7400,86.6000,86.7400,196
2024-12-24 06:32:00,86.6100,86.6100,86.6100,86.6100,1
2024-12-24 06:38:00,86.6100,86.6100,86.6000,86.6100,104
2024-12-24 06:39:00,86.5900,86.6100,86.5900,86.6100,331
2024-12-24 06:47:00,86.6200,86.6200,86.6200,86.6200,1
2024-12-24 06:49:00,86.6700,86.6700,86.6200,86.6700,128
2024-12-24 06:52:00,86.6700,86.6700,86.6700,86.6700,3
2024-12-24 06:55:00,86.6700,86.6700,86.6600,86.6600,14
2024-12-24 06:57:00,86.6800,86.6800,86.5900,86.6100,580
2024-12-24 07:00:00,86.7400,86.7600,86.6200,86.6200,140
2024-12-24 07:03:00,86.6200,86.6200,86.6200,86.6200,12
2024-12-24 07:05:00,86.6500,86.6500,86.6200,86.6200,110
2024-12-24 07:10:00,86.6200,86.6200,86.5800,86.5800,100
2024-12-24 07:12:00,86.6200,86.6200,86.6200,86.6200,88
2024-12-24 07:15:00,86.6900,86.6900,86.6900,86.6900,100
2024-12-24 07:16:00,86.7000,86.7000,86.7000,86.7000,85
2024-12-24 07:18:00,86.7200,86.7600,86.7200,86.7300,290
2024-12-24 07:20:00,86.7200,86.7200,86.7200,86.7200,2
2024-12-24 07:21:00,86.7500,86.7500,86.7200,86.7500,144
2024-12-24 07:23:00,86.7200,86.7200,86.7200,86.7200,1
2024-12-24 07:24:00,86.7600,86.8400,86.7200,86.8200,415
2024-12-24 07:26:00,86.7700,86.7700,86.7700,86.7700,35
2024-12-24 07:27:00,86.7600,86.7600,86.7600,86.7600,10
2024-12-24 07:31:00,86.7700,86.7700,86.7700,86.7700,9
2024-12-24 07:35:00,86.7700,86.7700,86.7700,86.7700,1
2024-12-24 07:37:00,86.7800,86.7800,86.7800,86.7800,2
2024-12-24 07:38:00,86.7700,86.7700,86.7400,86.7400,137
2024-12-24 07:39:00,86.7200,86.7200,86.6900,86.6900,28
2024-12-24 07:41:00,86.7500,86.7500,86.7500,86.7500,30
2024-12-24 07:49:00,86.7500,86.7500,86.7500,86.7500,1
2024-12-24 07:51:00,86.8000,86.8000,86.7600,86.7600,23
2024-12-24 08:00:00,86.8000,86.9400,85.4400,86.6114,5567
2024-12-24 08:01:00,86.7700,86.9000,86.6500,86.7000,110
2024-12-24 08:02:00,86.7500,86.7600,86.7000,86.7600,119
2024-12-24 08:04:00,86.6830,86.7600,86.6830,86.7600,304
2024-12-24 08:05:00,86.7600,86.7600,86.5800,86.5800,8
2024-12-24 08:07:00,86.6700,86.7500,86.6700,86.7000,25
2024-12-24 08:08:00,86.6700,86.7500,86.6700,86.7000,4
2024-12-24 08:10:00,86.7000,86.7000,86.7000,86.7000,12
2024-12-24 08:11:00,86.7600,86.7600,86.7600,86.7600,5
2024-12-24 08:12:00,86.7600,86.7800,86.7500,86.7800,1582
2024-12-24 08:13:00,86.7700,86.7700,86.7700,86.7700,32
2024-12-24 08:14:00,86.7900,86.8000,86.7900,86.8000,13
2024-12-24 08:15:00,86.6400,86.7800,86.6400,86.7800,8
2024-12-24 08:17:00,86.7800,86.7800,86.7800,86.7800,99
2024-12-24 08:19:00,86.8000,86.8000,86.8000,86.8000,5
2024-12-24 08:20:00,86.8000,86.8000,86.7200,86.7200,23
2024-12-24 08:21:00,86.7600,86.8000,86.7600,86.7900,211
2024-12-24 08:22:00,86.8800,86.8800,86.8800,86.8800,5
2024-12-24 08:23:00,86.7900,86.7900,86.7900,86.7900,2
2024-12-24 08:24:00,86.7100,86.7950,86.7100,86.7100,4
2024-12-24 08:25:00,86.7600,86.7600,86.7200,86.7600,13
2024-12-24 08:28:00,86.7100,86.7950,86.7100,86.7900,34
2024-12-24 08:30:00,86.6700,86.8800,86.6700,86.8800,108
2024-12-24 08:31:00,86.7100,86.7750,86.7100,86.7750,2
2024-12-24 08:32:00,86.7600,86.7600,86.7600,86.7600,2
2024-12-24 08:33:00,86.7700,86.7700,86.7700,86.7700,21
2024-12-24 08:34:00,86.7700,86.7700,86.7700,86.7700,8
2024-12-24 08:35:00,86.7600,86.7900,86.7600,86.7900,100
2024-12-24 08:36:00,86.7900,86.7950,86.7900,86.7950,3
2024-12-24 08:37:00,86.8800,86.8800,86.8800,86.8800,25
2024-12-24 08:39:00,86.7200,86.7200,86.7200,86.7200,3
2024-12-24 08:40:00,86.8800,86.8800,86.7950,86.7950,4
2024-12-24 08:41:00,86.9000,86.9000,86.9000,86.9000,2
2024-12-24 08:42:00,86.7100,86.7950,86.7100,86.7900,28
2024-12-24 08:43:00,86.8800,86.8800,86.8800,86.8800,2
2024-12-24 08:45:00,86.8000,86.8100,86.7400,86.7400,131
2024-12-24 08:46:00,86.7400,86.8300,86.7400,86.8300,160
2024-12-24 08:47:00,86.8150,86.8500,86.7600,86.7600,5
2024-12-24 08:48:00,86.7500,86.7800,86.7500,86.7800,20
2024-12-24 08:49:00,86.8150,86.8900,86.8150,86.8150,8
2024-12-24 08:50:00,86.8900,86.8900,86.8900,86.8900,1
2024-12-24 08:51:00,86.8600,86.8600,86.8600,86.8600,1
2024-12-24 08:52:00,86.8250,86.8300,86.8250,86.8300,2
2024-12-24 08:53:00,86.7827,86.8900,86.7800,86.8300,63
2024-12-24 08:54:00,86.8012,86.8300,86.8012,86.8300,13
2024-12-24 08:55:00,86.8600,86.8700,86.8600,86.8700,69
2024-12-24 08:56:00,86.8700,86.8700,86.8600,86.8700,36
2024-12-24 08:57:00,86.8700,86.9600,86.8200,86.9000,1167
2024-12-24 08:58:00,87.0000,87.0000,86.8500,86.8500,10
