,Open,High,Low,Close,Volume
2024-12-24 04:00:00,435.2200,436.9200,433.8800,435.4900,114953
2024-12-24 04:15:00,435.4900,436.2000,435.2000,435.2000,43004
2024-12-24 04:30:00,435.2400,435.9900,435.0300,435.4200,22651
2024-12-24 04:45:00,435.4200,435.6900,435.0900,435.5200,23825
2024-12-24 05:00:00,435.5800,435.6900,434.2600,434.3400,30958
2024-12-24 05:15:00,434.4100,434.9800,434.0000,434.6200,24475
2024-12-24 05:30:00,434.5100,434.7400,433.4300,433.8800,30264
2024-12-24 05:45:00,433.8900,434.1500,433.5000,433.9800,18547
2024-12-24 06:00:00,434.0000,434.9700,433.9800,434.3100,17651
2024-12-24 06:15:00,434.4000,434.5100,433.7600,434.1100,12553
2024-12-24 06:30:00,434.1000,434.7900,433.8400,434.5000,14187
2024-12-24 06:45:00,434.5200,434.7000,434.1800,434.2300,19007
2024-12-24 07:00:00,434.1800,434.7700,433.7000,434.4800,51317
2024-12-24 07:15:00,434.4500,436.0000,434.1100,435.7500,93970
2024-12-24 07:30:00,435.7500,436.0000,435.0000,435.1900,45145
2024-12-24 07:45:00,435.1800,435.2500,434.8000,435.0000,29198
2024-12-24 08:00:00,435.0000,436.9214,430.6000,435.1400,299071
2024-12-24 08:15:00,435.1489,435.9400,434.8300,435.8000,71032
2024-12-24 08:30:00,435.8000,436.1300,435.2500,435.9900,107294
2024-12-24 08:45:00,436.0500,437.2900,435.6000,437.0450,161248
2024-12-24 09:00:00,437.0400,437.9300,436.8400,437.2500,218779
2024-12-24 09:15:00,437.1400,437.4700,435.8000,435.9300,200673
2024-12-24 09:30:00,435.9000,448.9100,435.1400,448.5800,8459266
2024-12-24 09:45:00,448.6266,451.9500,446.0200,449.4500,6324456
2024-12-24 10:00:00,449.4733,451.0000,446.7200,448.5200,4078513
2024-12-24 10:15:00,448.4650,450.3999,445.4200,449.5500,3652364
2024-12-24 10:30:00,449.5781,450.2000,447.7000,449.8845,2451165
2024-12-24 10:45:00,449.9899,452.5500,449.4000,451.4500,3801635
2024-12-24 11:00:00,451.5250,451.9900,448.8000,451.4891,2274457
2024-12-24 11:15:00,451.4400,453.6200,451.3900,452.6800,2921477
2024-12-24 11:30:00,452.6050,453.2000,451.0500,452.9349,2316484
2024-12-24 11:45:00,452.8650,453.1000,451.3000,452.0101,1585302
2024-12-24 12:00:00,452.0918,452.9500,450.8000,452.7795,1673171
2024-12-24 12:15:00,452.8300,455.6300,452.3501,455.5129,2594586
2024-12-24 12:30:00,455.4900,457.6000,454.3200,457.4269,3429203
2024-12-24 12:45:00,457.4100,462.7800,456.4100,462.4850,5837889
2024-12-24 13:00:00,462.4850,468.4000,462.2500,464.7300,8110382
2024-12-24 13:15:00,462.2800,466.0000,462.2800,464.8300,376423
2024-12-24 13:30:00,464.9000,464.9300,462.2800,463.2350,288812
2024-12-24 13:45:00,463.2000,495.8536,461.2136,463.7900,263682
2024-12-24 14:00:00,463.7900,465.4100,462.2800,465.2550,201714
2024-12-24 14:15:00,465.2500,466.5000,465.2000,465.7950,179013
2024-12-24 14:30:00,465.8400,466.0000,464.8800,464.9900,107189
2024-12-24 14:45:00,464.9900,465.2000,464.5000,464.8800,89342
