time,open,high,low,close,Volume
2024-09-02T05:45:00+05:30,18969.5,18969.5,18969.5,18969.5,NaN
2024-09-02T06:00:00+05:30,18970.5,18979,18968.5,18968.5,NaN
2024-09-02T06:15:00+05:30,18968.5,18973,18960.5,18961,NaN
2024-09-02T06:30:00+05:30,18961,18969,18958,18965,NaN
2024-09-02T06:45:00+05:30,18964.5,18971,18961,18963,NaN
2024-09-02T07:00:00+05:30,18963,18968.5,18959.5,18962,NaN
2024-09-02T07:15:00+05:30,18961.5,18970,18961.5,18966,NaN
2024-09-02T07:30:00+05:30,18965.5,18965.5,18949.5,18949.5,NaN
2024-09-02T07:45:00+05:30,18949.5,18952,18938,18942,NaN
2024-09-02T08:00:00+05:30,18942,18950,18942,18949,NaN
2024-09-02T08:15:00+05:30,18949,18952,18940.5,18948.5,NaN
2024-09-02T08:30:00+05:30,18948.5,18949.5,18943.5,18949.5,NaN
2024-09-02T08:45:00+05:30,18950.5,18960,18947.5,18958,NaN
2024-09-02T09:00:00+05:30,18958.5,18958.5,18941.5,18945,NaN
2024-09-02T09:15:00+05:30,18945,18959.5,18944,18958,NaN
2024-09-02T09:30:00+05:30,18958,18959.5,18939,18943.5,NaN
2024-09-02T09:45:00+05:30,18943.5,18955,18940.5,18954,NaN
2024-09-02T10:00:00+05:30,18954,18955,18950.5,18954.5,NaN
2024-09-02T10:15:00+05:30,18954.5,18962.5,18954,18962.5,NaN
2024-09-02T10:30:00+05:30,18962.5,18968.5,18959,18960,NaN
2024-09-02T10:45:00+05:30,18960,18967,18955,18967,NaN
2024-09-02T11:00:00+05:30,18967,18976,18966,18975,NaN
2024-09-02T11:15:00+05:30,18975,18976.5,18963,18965,NaN
2024-09-02T11:30:00+05:30,18965,18977,18949,18951,NaN
2024-09-02T11:45:00+05:30,18951,18965.5,18949.5,18962,NaN
2024-09-02T12:00:00+05:30,18962,18962,18953,18958,NaN
2024-09-02T12:15:00+05:30,18957.5,18960,18949.5,18959,NaN
2024-09-02T12:30:00+05:30,18959,18965,18901.5,18905,NaN
2024-09-02T12:45:00+05:30,18905,18905,18847,18850.5,NaN
2024-09-02T13:00:00+05:30,18851,18870,18812.5,18860,NaN
2024-09-02T13:15:00+05:30,18861,18893.5,18860.5,18893,NaN
2024-09-02T13:30:00+05:30,18892,18899.5,18878,18899,NaN
2024-09-02T13:45:00+05:30,18899,18929,18896,18912,NaN
2024-09-02T14:00:00+05:30,18912,18921,18906,18914.5,NaN
2024-09-02T14:15:00+05:30,18914,18925,18908,18913,NaN
2024-09-02T14:30:00+05:30,18913,18921,18904.5,18919,NaN
2024-09-02T14:45:00+05:30,18919,18922,18910,18914.5,NaN
2024-09-02T15:00:00+05:30,18914.5,18922,18904,18922,NaN
2024-09-02T15:15:00+05:30,18921.5,18930.5,18918.5,18930,NaN
2024-09-02T15:30:00+05:30,18930,18930.5,18914,18916,NaN
2024-09-02T15:45:00+05:30,18916,18922.5,18914.5,18917,NaN
2024-09-02T16:00:00+05:30,18917,18921.5,18907.5,18916.5,NaN
2024-09-02T16:15:00+05:30,18917,18921,18912.5,18915,NaN
2024-09-02T16:30:00+05:30,18915,18926.5,18915,18925.5,NaN
2024-09-02T16:45:00+05:30,18925.5,18930,18919,18919,NaN
2024-09-02T17:00:00+05:30,18919,18931.5,18914.5,18929,NaN
2024-09-02T17:15:00+05:30,18929,18932.5,18920.5,18930,NaN
2024-09-02T17:30:00+05:30,18929.5,18936.5,18923.5,18936,NaN
2024-09-02T17:45:00+05:30,18936,18938,18927.5,18937.5,NaN
2024-09-02T18:00:00+05:30,18938,18942.5,18932.5,18936.5,NaN
2024-09-02T18:15:00+05:30,18936.5,18950,18936,18940.5,NaN
2024-09-02T18:30:00+05:30,18941,18953.5,18931,18939.5,NaN
2024-09-02T18:45:00+05:30,18940,18943.5,18923,18927,NaN
2024-09-02T19:00:00+05:30,18927,18940.5,18916.5,18938,NaN
2024-09-02T19:15:00+05:30,18938.5,18946.5,18931,18938.5,NaN
2024-09-02T19:30:00+05:30,18939,18951,18930,18947,NaN
2024-09-02T19:45:00+05:30,18948,18959,18944,18958,NaN
2024-09-02T20:00:00+05:30,18958,18974.5,18958,18972,NaN
2024-09-02T20:15:00+05:30,18972,18980.5,18966.5,18968.5,NaN
2024-09-02T20:30:00+05:30,18968.5,18972,18965,18969,NaN
2024-09-02T20:45:00+05:30,18969,18970.5,18964.5,18965.5,NaN
2024-09-02T21:00:00+05:30,18965.5,18977.5,18964.5,18977,NaN
2024-09-02T21:15:00+05:30,18977,18978.5,18973.5,18977,NaN
2024-09-02T21:30:00+05:30,18977,18982.5,18976.5,18979.5,NaN
2024-09-02T21:45:00+05:30,18979.5,18979.5,18975,18979.5,NaN
2024-09-02T22:00:00+05:30,18979.5,18981.5,18978.5,18980.5,NaN
2024-09-02T22:15:00+05:30,18981,18981.5,18975,18979.5,NaN
2024-09-02T22:30:00+05:30,18979.5,18982.5,18979.5,18981,NaN
2024-09-02T22:45:00+05:30,18981.5,18983,18979.5,18981.5,NaN
2024-09-02T23:00:00+05:30,18982.5,18986,18981.5,18984,NaN
2024-09-02T23:15:00+05:30,18984,18987.5,18983,18984.5,NaN
2024-09-02T23:30:00+05:30,18984,18986.5,18983.5,18985.5,NaN
2024-09-02T23:45:00+05:30,18986,18986,18984,18985.5,NaN
2024-09-03T00:00:00+05:30,18985.5,18985.5,18983.5,18984,NaN
2024-09-03T00:15:00+05:30,18984.5,18985.5,18982.5,18985,NaN
2024-09-03T00:30:00+05:30,18985,18985,18984.5,18984.5,NaN
2024-09-03T00:45:00+05:30,18984.5,18985.5,18981.5,18983,NaN
2024-09-03T01:00:00+05:30,18983,18985.5,18981.5,18985.5,NaN
2024-09-03T01:15:00+05:30,18985.5,18990.5,18985.5,18988,NaN
2024-09-03T06:00:00+05:30,18975.5,18975.5,18967,18970.5,NaN
2024-09-03T06:15:00+05:30,18970.5,18978,18966.5,18978,NaN
2024-09-03T06:30:00+05:30,18978.5,18983,18972.5,18982.5,NaN
2024-09-03T06:45:00+05:30,18982.5,18992,18981.5,18986.5,NaN
2024-09-03T07:00:00+05:30,18986.5,18987,18977.5,18982,NaN
2024-09-03T07:15:00+05:30,18982,18990.5,18980.5,18988,NaN
2024-09-03T07:30:00+05:30,18988,18991.5,18981,18991,NaN
